iter	Passed	Remaining
409	5337	1171
410	5351	1158
411	5365	1145
412	5378	1132
413	5392	1120
414	5406	1107
415	5419	1094
416	5432	1081
417	5446	1068
418	5459	1055
419	5472	1042
420	5486	1029
421	5498	1016
422	5511	1003
423	5524	990
424	5537	977
425	5550	964
426	5563	951
427	5576	938
428	5590	925
429	5603	912
430	5617	899
431	5631	886
432	5643	873
433	5657	860
434	5670	847
435	5683	834
436	5698	821
437	5712	808
438	5726	795
439	5741	782
440	5756	770
441	5770	757
442	5785	744
443	5799	731
444	5813	718
445	5826	705
446	5840	692
447	5854	679
448	5869	666
449	5883	653
450	5897	640
451	5911	627
452	5925	614
453	5938	601
454	5952	588
455	5965	575
456	5979	562
457	5992	549
458	6006	536
459	6020	523
460	6033	510
461	6045	497
462	6059	484
463	6073	471
464	6087	458
465	6099	445
466	6112	431
467	6125	418
468	6139	405
469	6152	392
470	6165	379
471	6179	366
472	6192	353
473	6206	340
474	6219	327
475	6233	314
476	6253	301
477	6267	288
478	6280	275
479	6295	262
480	6308	249
481	6322	236
482	6335	223
483	6349	209
484	6362	196
485	6376	183
486	6390	170
487	6403	157
488	6417	144
489	6430	131
490	6443	118
491	6457	104
492	6471	91
493	6485	78
494	6498	65
495	6512	52
496	6525	39
497	6539	26
498	6552	13
499	6566	0
