SE_ID,SC_GRAD_VLUE,NGST_QY
305,김떡만강정,130
306,사과,25
307,메론맛우유,180
308,짜장밥,218
309,달걀파국,0
310,김떡만강정,78
311,사과,62
312,메론맛우유,180
313,짜장밥,291
314,김떡만강정,13
315,사과,62
316,메론맛우유,180
317,짜장밥,364
318,김떡만강정,143
319,배추김치,43
320,사과,62
321,메론맛우유,180
322,짜장밥,145
323,김떡만강정,130
324,사과,0
325,메론맛우유,180
326,짜장밥,291
327,김떡만강정,130
328,사과,25
329,메론맛우유,180
330,짜장밥,349
331,김떡만강정,130
332,사과,62
333,메론맛우유,180
334,짜장밥,364
335,김떡만강정,130
336,사과,62
337,메론맛우유,180
338,짜장밥,218
339,김떡만강정,143
340,사과,62
341,메론맛우유,180
342,짜장밥,145
343,김떡만강정,130
344,사과,0
345,메론맛우유,180
346,짜장밥,291
347,김떡만강정,143
348,사과,62
349,메론맛우유,180
350,짜장밥,364
351,달걀파국,170
352,김떡만강정,143
353,배추김치,31
354,사과,62
355,메론맛우유,180
356,짜장밥,400
357,김떡만강정,156
358,배추김치,23
359,사과,0
360,메론맛우유,180
361,짜장밥,327
362,달걀파국,170
363,김떡만강정,156
364,사과,0
365,메론맛우유,180
366,짜장밥,364
367,김떡만강정,143
368,메론맛우유,180
369,짜장밥,182
370,달걀파국,113
371,김떡만강정,130
372,사과,62
373,메론맛우유,180
374,짜장밥,364
375,달걀파국,227
376,김떡만강정,130
377,배추김치,39
378,사과,62
379,메론맛우유,180
380,짜장밥,364
381,김떡만강정,130
382,배추김치,39
383,사과,50
384,메론맛우유,180
385,짜장밥,145
386,김떡만강정,104
387,사과,62
388,메론맛우유,180
389,짜장밥,182
390,김떡만강정,130
391,사과,0
392,메론맛우유,180
393,짜장밥,327
394,김떡만강정,130
395,사과,31
396,메론맛우유,180
397,짜장밥,364
398,달걀파국,227
399,김떡만강정,143
400,사과,62
401,메론맛우유,180
402,짜장밥,364
403,김떡만강정,156
404,사과,62
405,메론맛우유,180
406,짜장밥,218
407,달걀파국,56
408,김떡만강정,130
409,사과,62
410,메론맛우유,180
411,짜장밥,0
412,달걀파국,284
413,김떡만강정,130
414,사과,62
415,메론맛우유,180
416,짜장밥,218
417,달걀파국,0
418,김떡만강정,104
419,배추김치,7
420,사과,0
421,메론맛우유,180
422,짜장밥,36
423,김떡만강정,130
424,사과,62
425,메론맛우유,180
426,짜장밥,72
427,김떡만강정,52
