SE_ID,SC_GRAD_VLUE,NGST_QY
1,스파게티,28
2,치킨케이준샐러드,48
3,오이피클,26
4,과일쥬스(사과),0
5,스파게티,161
6,치킨케이준샐러드,24
7,오이피클,34
8,과일쥬스(사과),80
9,스파게티,147
10,치킨케이준샐러드,96
11,오이피클,26
12,과일쥬스(사과),80
13,스파게티,56
14,치킨케이준샐러드,36
15,오이피클,52
16,과일쥬스(사과),80
17,스파게티,0
18,치킨케이준샐러드,84
19,오이피클,8
20,과일쥬스(사과),80
21,스파게티,49
22,치킨케이준샐러드,24
23,오이피클,26
24,과일쥬스(사과),80
25,스파게티,63
26,치킨케이준샐러드,60
27,오이피클,26
28,과일쥬스(사과),30
29,스파게티,126
30,치킨케이준샐러드,24
31,오이피클,52
32,과일쥬스(사과),80
33,스파게티,0
34,치킨케이준샐러드,0
35,오이피클,52
36,과일쥬스(사과),0
37,스파게티,42
38,치킨케이준샐러드,48
39,오이피클,26
40,과일쥬스(사과),0
41,스파게티,147
42,치킨케이준샐러드,108
43,오이피클,52
44,과일쥬스(사과),80
45,스파게티,91
46,치킨케이준샐러드,108
47,오이피클,0
48,과일쥬스(사과),0
49,스파게티,0
50,치킨케이준샐러드,12
51,오이피클,0
52,과일쥬스(사과),0
53,스파게티,42
54,치킨케이준샐러드,24
55,오이피클,0
56,과일쥬스(사과),0
57,스파게티,7
58,치킨케이준샐러드,0
59,오이피클,52
60,과일쥬스(사과),0
61,스파게티,119
62,치킨케이준샐러드,48
63,오이피클,26
64,과일쥬스(사과),80
65,스파게티,168
66,치킨케이준샐러드,96
67,오이피클,26
68,과일쥬스(사과),80
69,스파게티,126
70,치킨케이준샐러드,120
71,오이피클,52
72,과일쥬스(사과),80
73,스파게티,168
74,치킨케이준샐러드,108
75,오이피클,52
76,과일쥬스(사과),80
77,스파게티,168
78,치킨케이준샐러드,60
79,오이피클,52
80,과일쥬스(사과),80
81,스파게티,112
82,치킨케이준샐러드,84
83,오이피클,52
84,과일쥬스(사과),80
85,스파게티,140
86,치킨케이준샐러드,0
87,오이피클,0
88,과일쥬스(사과),0
89,스파게티,154
90,치킨케이준샐러드,120
91,오이피클,26
92,과일쥬스(사과),80
93,스파게티,126
94,치킨케이준샐러드,12
95,오이피클,17
96,과일쥬스(사과),80
97,스파게티,161
98,치킨케이준샐러드,108
99,오이피클,52
100,과일쥬스(사과),80
101,스파게티,168
102,치킨케이준샐러드,36
103,오이피클,26
104,과일쥬스(사과),80
105,스파게티,133
106,치킨케이준샐러드,12
107,오이피클,26
108,과일쥬스(사과),0
109,스파게티,77
110,치킨케이준샐러드,12
111,오이피클,0
112,과일쥬스(사과),80
113,스파게티,175
114,치킨케이준샐러드,108
115,오이피클,52
116,과일쥬스(사과),80
117,스파게티,140
118,치킨케이준샐러드,120
119,오이피클,52
120,과일쥬스(사과),80
121,스파게티,126
122,치킨케이준샐러드,0
123,오이피클,52
124,과일쥬스(사과),80
125,스파게티,182
126,치킨케이준샐러드,24
127,오이피클,0
128,과일쥬스(사과),0
129,스파게티,28
130,치킨케이준샐러드,0
131,오이피클,8
132,과일쥬스(사과),80
133,스파게티,203
134,치킨케이준샐러드,120
135,오이피클,52
136,과일쥬스(사과),80
137,스파게티,98
138,치킨케이준샐러드,84
139,오이피클,26
140,과일쥬스(사과),0
141,스파게티,133
142,치킨케이준샐러드,72
143,오이피클,0
144,과일쥬스(사과),80
145,스파게티,119
146,치킨케이준샐러드,60
147,오이피클,0
148,과일쥬스(사과),80
149,스파게티,154
150,치킨케이준샐러드,72
151,오이피클,52
152,과일쥬스(사과),80
153,스파게티,147
154,치킨케이준샐러드,108
155,오이피클,52
156,과일쥬스(사과),80
157,스파게티,189
158,치킨케이준샐러드,108
159,오이피클,52
160,과일쥬스(사과),80
161,스파게티,77
162,치킨케이준샐러드,48
163,오이피클,26
164,과일쥬스(사과),80
165,스파게티,63
166,치킨케이준샐러드,36
167,오이피클,26
168,과일쥬스(사과),80
169,스파게티,175
170,치킨케이준샐러드,12
171,오이피클,26
172,과일쥬스(사과),80
173,스파게티,140
174,치킨케이준샐러드,12
175,오이피클,26
176,과일쥬스(사과),80
177,스파게티,140
178,치킨케이준샐러드,96
179,오이피클,52
180,과일쥬스(사과),80
181,스파게티,147
182,치킨케이준샐러드,48
183,오이피클,26
184,과일쥬스(사과),80
185,스파게티,84
186,치킨케이준샐러드,72
187,오이피클,0
188,과일쥬스(사과),0
189,스파게티,154
190,치킨케이준샐러드,36
191,오이피클,0
192,과일쥬스(사과),80
193,스파게티,154
194,치킨케이준샐러드,132
195,오이피클,26
196,과일쥬스(사과),80
197,스파게티,35
198,치킨케이준샐러드,12
199,오이피클,0
200,과일쥬스(사과),80
201,스파게티,154
202,치킨케이준샐러드,24
203,스파게티,154
204,치킨케이준샐러드,96
205,오이피클,26
206,과일쥬스(사과),80
207,스파게티,42
208,치킨케이준샐러드,24
209,과일쥬스(사과),80
210,스파게티,133
211,치킨케이준샐러드,0
212,오이피클,52
213,과일쥬스(사과),80
214,스파게티,140
215,치킨케이준샐러드,72
216,오이피클,26
217,과일쥬스(사과),80
218,스파게티,119
219,치킨케이준샐러드,96
220,오이피클,52
221,과일쥬스(사과),80
222,스파게티,147
223,치킨케이준샐러드,12
224,오이피클,26
225,과일쥬스(사과),80
226,스파게티,175
227,치킨케이준샐러드,72
228,오이피클,52
229,과일쥬스(사과),80
230,스파게티,70
231,치킨케이준샐러드,72
232,오이피클,52
233,과일쥬스(사과),80
