SE_ID,SC_GRAD_VLUE,NGST_QY
1,기장밥,126
2,짬뽕국,96
3,메추라기알버섯조림,42
4,완자전,34
5,감자치즈튀김,38
6,배추김치,45
7,기장밥,126
8,짬뽕국,42
9,메추라기알버섯조림,7
10,완자전,17
11,감자치즈튀김,35
12,배추김치,15
13,기장밥,82
14,짬뽕국,42
15,메추라기알버섯조림,42
16,완자전,0
17,감자치즈튀김,19
18,배추김치,50
19,기장밥,75
20,짬뽕국,118
21,메추라기알버섯조림,40
22,완자전,11
23,감자치즈튀김,38
24,배추김치,25
25,기장밥,101
26,짬뽕국,69
27,메추라기알버섯조림,28
28,완자전,0
29,감자치즈튀김,22
30,배추김치,10
31,기장밥,110
32,짬뽕국,107
33,메추라기알버섯조림,42
34,완자전,34
35,감자치즈튀김,41
36,배추김치,25
37,기장밥,97
38,짬뽕국,107
39,메추라기알버섯조림,42
40,완자전,17
41,감자치즈튀김,6
42,배추김치,5
43,기장밥,101
44,짬뽕국,32
45,메추라기알버섯조림,42
46,완자전,34
47,감자치즈튀김,32
48,배추김치,5
49,기장밥,18
50,짬뽕국,32
51,메추라기알버섯조림,44
52,완자전,2
53,감자치즈튀김,22
54,배추김치,30
55,기장밥,91
56,짬뽕국,59
57,메추라기알버섯조림,40
58,완자전,28
59,감자치즈튀김,12
60,배추김치,15
61,기장밥,82
62,짬뽕국,42
63,메추라기알버섯조림,42
64,완자전,5
65,감자치즈튀김,35
66,배추김치,10
67,기장밥,104
68,짬뽕국,53
69,메추라기알버섯조림,47
70,완자전,40
71,감자치즈튀김,38
72,배추김치,5
73,기장밥,78
74,짬뽕국,59
75,메추라기알버섯조림,452
76,완자전,8
77,감자치즈튀김,12
78,배추김치,5
79,기장밥,78
80,메추라기알버섯조림,51
81,완자전,0
82,감자치즈튀김,32
83,배추김치,10
84,기장밥,59
85,짬뽕국,53
86,메추라기알버섯조림,23
87,완자전,20
88,감자치즈튀김,3
89,배추김치,0
90,기장밥,66
91,짬뽕국,32
92,메추라기알버섯조림,42
93,완자전,31
94,감자치즈튀김,22
95,배추김치,5
96,기장밥,85
97,짬뽕국,42
98,완자전,22
99,감자치즈튀김,19
100,배추김치,10
101,기장밥,82
102,메추라기알버섯조림,9
103,완자전,0
104,감자치즈튀김,19
105,배추김치,15
106,기장밥,72
107,짬뽕국,0
108,메추라기알버섯조림,42
