FOOD_NM,INGREDIENTS,TYPE,Quantity
버섯소불고기,당근,반찬,
나박김치,김치(나박김치),반찬,
궁채나물,고추(붉은고추(홍고추)),반찬,
독도사랑주스,에이드(레드자몽에이드),후식,
닭살삼계탕,인삼(수삼)/세척한것,국,
배추겉절이,김치(배추겉절이),김치,11988.0
진미채도라지볶음,고추장,반찬,
해물우동볶음,혼다랑어,반찬,
차수수밥,멥쌀(현미),밥,198376.0
어묵국,간장(재래간장),국,253202.0
아욱수제비국,다시마/말린것(건조),국,
월도프샐러드,마요네즈/친환경,후식,
제육볶음,큰느타리버섯(새송이버섯)/소(小),반찬,
옥수수치즈그랑탕,양파/껍질제거(깐것),반찬,
뿌팟퐁카레,양배추/친환경,반찬,
알감자버터구이,콩기름(대두유),반찬,
쌀눈현미밥,기능성멥쌀(쌀눈),밥,
분모자짜장찜닭,당근/친환경,반찬,
찰보리밥,보리(찰보리)/친환경,밥,
유기농나물밥,멥쌀(백미)/친환경,밥,
김구이,김(구운김)/무염,반찬,10362.0
달걀파국,다시마/말린것(건조),국,66377.0
과일푸딩,푸딩(사과푸딩),후식,
쭈꾸미야채비빔밥,고춧가루,밥,
오이지무침,마늘,반찬,
바베큐폭찹,피망(청피망),반찬,
발아현미밥,찹쌀(백미),밥,158047.0
연어데리야끼조림,분말(카레분말)/순한맛,반찬,
갓김치,김치(갓김치),김치,985.0
연근채강정,매실청,반찬,
도토리묵채국,김치(맛김치)/숙성시킨것,국,
과일채소주스,혼합음료(사과당근채소음료),후식,
콩가루배추국,된장,국,2940.0
사과,설탕(백설탕),후식,47175.0
느타리버섯시금치무침,참기름,반찬,
열무무침,된장,반찬,
유부된장국,파(대파),국,
소시지페이스트리,치즈(노란체다치즈),후식,
달걀야채볶음밥,콩기름(대두유),밥,
우엉명엽채조림,우엉,반찬,
시금치무침,깨(참깨)/볶은것,반찬,
육개장,고사리/삶은것,국,21273.0
치킨너겟,콩기름(대두유),반찬,
나물비빔밥,청주,밥,
교자만두찜,딤섬,반찬,
짬뽕순두부,파(대파),반찬,
돼지고기간장불고기,굴소스,반찬,
김치볶음,간장(양조간장),김치,
카레소스,피망(청피망),반찬,
요구르트,발효유(액상요구르트),후식,49609.0
찹쌀밥,멥쌀(백미),밥,155253.0
골뱅이야채무침,당근,반찬,
레몬파닭,설탕(백설탕),반찬,
스팸구이,돼지고기햄통조림/식품첨가물 미첨가,반찬,
간장달걀밥,부추/국산,밥,
열무김치,김치(열무김치),김치,4148.0
호두멸치볶음,콩기름(대두유),반찬,
카프리썬,혼합주스(오렌지망고주스),후식,
두부조림,간장(양조간장),반찬,
설렁탕,파(대파)/껍질제거(깐것),국,97331.0
돼지고기메추리알장조림,설탕(흑설탕),반찬,
참나물무침,파(실파),반찬,
오리고추장불고기,간장(양조간장),반찬,
식혜,식혜/친환경,후식,
돼지고기바베큐구이,청주,반찬,
우렁된장찌개,감자,반찬,2926.0
상추쌈,물엿,반찬,
콩나물파채무침,마늘/껍질제거(깐것),반찬,465.0
연두부양념장,깨(참깨)/볶은것,반찬,
오징어떡볶음,떡볶이떡/국산,반찬,
과일샐러드,바나나,후식,1595.0
마라부대찌개,간장(재래간장),국,
옥수수치즈마요네즈떡갈비,떡갈비,반찬,
버섯된장국,호박(애호박),국,
잡곡밥,멥쌀(백미),밥,
햄에그까스,콩기름(대두유),반찬,
김부각,부각(미역부각),반찬,
사골우거지국,된장,국,
치즈볼,치즈볼,후식,
깻잎나물,간장(재래간장),반찬,
치즈감자전스테이크,양파/일반,반찬,
식물성유산균요구르트,발효유(액상요구르트),후식,
순대국,간장(재래간장),국,
알타리김치,김치(총각김치),김치,
달고나와플,시럽(초코시럽),후식,
참치김치찌개,두부/찌개용,국,
삼색묵무침,영양강화제(채소칼슘),반찬,
안동찜닭,당근/일반,반찬,
배도라지,주스(배주스),후식,
파김치,김치(포기김치),김치,
만두전골,된장(양조된장(개량식)),반찬,
건파래볶음,소금(꽃소금),반찬,10745.0
티라미슈무스케이크,케이크(티라미수케이크),후식,
치즈연어구이,간장(양조간장),반찬,
닭곰탕,소금(굵은소금),국,62611.0
사과오이초무침,설탕(백설탕),반찬,
애플고르곤졸라피자,피자(조각피자),반찬,
사과주스,주스(사과주스)/가당,후식,
단무지무침,단무지(반달슬라이스단무지)/무색소,반찬,4821.0
짜장면,마늘/일반,밥,
포기김치,김치(파김치),김치,
흰밥,멥쌀(백미),밥,
메이플피칸,파이(미니메이플피칸),후식,
다시마무국,소금(굵은소금),국,42296.0
매운한돼지갈비찜,고추장,반찬,
느타리버섯초무침,애느타리버섯/일반,반찬,
불고기,파(대파)/채썬것(세절),반찬,9860.0
매실장아찌무침,설탕(백설탕),반찬,
강황밥,찹쌀(백미)/일반,밥,
깻잎김치,김치(깻잎김치),반찬,9470.0
우동국,간장(재래간장),국,
소프트햄버거,양상추/일반,반찬,
김주먹밥,단무지(꼬들단무지),밥,
자두쿨피스,두유(복숭아농축액두유),후식,
건새우아욱된장국,파(대파)/일반,국,
샤인머스캣청포도,포도(골덴마스컷),후식,
순우리당면김말이구이,유채씨유(카놀라유),반찬,
기름떡볶이,고추장,반찬,
꼬치어묵국,어묵(사각어묵꼬치),국,7343.0
꿀카롱오레오,마카롱(헤이즐넛마카롱),후식,
닭살미역국,닭고기(성계)/껍질제거(깐것),국,
오이부추무침,소금(꽃소금),반찬,
표고버섯호박볶음,깨(참깨)/껍질제거(깐것),반찬,
고구마치즈돈까스,설탕(백설탕),반찬,
소시지케첩볶음,마늘/일반,반찬,
나가사끼새알심만두국,청경채/일반,국,
두부,마늘/일반,반찬,
건새우조림,설탕(백설탕),반찬,
순대야채볶음,간장(양조간장),반찬,
공신젤리,젤리,후식,
오리훈제구이,오리훈제/슬라이스,반찬,
바지락된장찌개,팽이버섯/일반,국,
리얼피치아이스티,생수,후식,
소고기카레라이스,분말(카레분말)/순한맛,밥,
숙주게맛살무침,마늘/일반,반찬,
치킨텐더또띠아,마요네즈(전란),반찬,
우엉채어묵조림,설탕(백설탕),반찬,
바나나,멜론(머스크멜론),후식,61300.0
김치두부국,두부/찌개용,국,
