FOOD_NM,INGREDIENT
오징어브로컬리초무침,배
멘보샤+크림소스,유채씨유(카놀라유)
섞박지,김치(섞박지)
연근가라아게샐러드,레몬
과일크로플(생크림),망고/조각낸것
머위대된장들깨나물,"마늘/껍질제거(깐것), 꼭지제거"
사과요거트샐러드,"사과(부사, 후지)"
달콘치킨,옥수수(찰옥수수)
곤드레나물밥/간장양념장,기능성찹쌀(칼슘강화)
콩나물냉국,"마늘/껍질제거(깐것), 꼭지제거"
구운채소샐러드,"사과(부사, 후지)"
수제폭찹,"마늘/껍질제거(깐것), 꼭지제거"
아이스롤케이크,케이크(롤케이크)
돼지불고기+파채,당근/껍질제거(깐것)
뿌링소떡소떡,분말(양념분말)/치즈맛
치킨가라아게덮밥,기능성찹쌀(칼슘강화)
경양식크림스프,월계수잎
왕토마토스파게티,토마토
야채피클,피클(청과)
배추겉절이생채,배
콩나물,"마늘, 깐마늘, 생것"
김치국,두부
감자탕,"감자, 대지, 생것"
된장국,"마늘, 깐마늘, 생것"
오징어풋마늘무침,"설탕, 백설탕"
된장국,두부
귀리쌀밥,귀리(쌀귀리)
한방닭곰탕,밤
양상추유자드레싱,"사과(부사, 후지)"
애호박새우볶음,양파
표고채소볶음,당근
유산균녹차김,김(구운김)/조미한것
통밀쌀밥,멥쌀(백미)/친환경
돼지뼈감자탕,마늘
팽이미역줄기볶음,당근
갈치구이/양념장,파(쪽파)
우리밀핫도그,핫도그(우리밀핫도그)
압맥밥,멥쌀(백미)/친환경
돌나물무침,"사과(부사, 후지)"
시금치양송이무침,양파
닭봉엿장조림,"생강/국산, 껍질제거(깐것)"
꼬들오이지무침,깨(참깨)
무농약감귤주스,주스(감귤주스)
우리밀블랙까몬츄러스,추로스(오레오추로스)
강황찹쌀밥,"기능성멥쌀(강황, 울금)"
땅콩은행조림,땅콩/껍질제거(깐것)
목살편육/상추쌈,"생강/국산, 껍질제거(깐것)"
뽀로로요구르트,발효유(액상요구르트)/사과맛
쌀보리밥,멥쌀(백미)/친환경
감자호박들깨국,마늘
깻잎순무침,깻잎나물(깨나물)
새송이파프리카볶음,양파
어묵마늘쫑볶음,마늘종
치즈돈가스/소스,유채씨유(카놀라유)
기장쌀밥,멥쌀(백미)/친환경
생새우미역국,마늘
치커리사과오리엔탈무침,"사과(부사, 후지)"
돈육김치볶음-찐두부,당근
해물쫄면자장볶음,당근
쌀호두과자,과자(쌀호두과자)
검정찹쌀밥,멥쌀(백미)/친환경
꼬치어묵곤약국,마늘
오이부추생채,양파
청경채굴소스볶음,당근
조기구이/양념장,파(쪽파)
약밥,밤
매실무말랭이양념무침,무말랭이무침
어린이날우리밀쿠키,쿠키(우리밀땅콩초코쿠키)
윌요구르트,발효유(드링크요구르트)/무가당
서리태곤약조림,서리태(속청)
고등어순살카레구이,고등어
시금치땅콩가루무침,"땅콩/간것(가루, 분말)"
돈육버섯볶음/모듬쌈,당근
마늘쫑건새우볶음,마늘종
시원한매실차,얼음
해초비빔밥,멥쌀(백미)/친환경
건강혼합멸치볶음,깨(참깨)
깐쇼새우칠리볶음,양파
액티비아딸기요거트,발효유(호상요구르트)/딸기맛
방풍나물초무침,"사과(부사, 후지)"
오이/파프리카/쌈장,파프리카(주황파프리카)
돈육자장볶음,당근
바지락맑은국,마늘
죽순오징어초무침,무(게걸무)
치킨마요덮밥,멥쌀(백미)/친환경
양상추참깨드레싱,"사과(부사, 후지)"
느타리애호박볶음,양파
공룡모양군만두,콩기름(대두유)
홍미쌀밥,멥쌀(백미)/친환경
세발나물무침,갯나물(세발나물)
비엔나감자볶음,당근
영양밥/양념장,밤
완두콩죽,녹두
유부미소된장국,마늘
콩으로만든런천미트구이,콩고기
