FOOD_NM,INGREDIENT
삼색꿀떡,떡(꿀떡)
키짱,발효유(드링크요구르트)
생다시마/브로콜리/초고추장,브로콜리
참나물들깨무침,양파
뼈없는닭볶음,당근
삼색냉채,콩나물
오징어채소볶음,당근
우리밀마늘빵,마늘빵
콩나물덮밥/양념장,멥쌀(백미)/친환경
달걀두부국,마늘
우리밀꿀약과,찹쌀약과
녹미쌀밥,멥쌀(백미)/친환경
장어탕,마늘
목살편육/양배추쌈,"생강/국산, 껍질제거(깐것)"
우리밀김말이튀김,콩기름(대두유)
상추쑥갓겉절이,상추
돈육갈비바베큐소스조림,배
게살달걀채소찜,당근
도토리묵쑥갓무침,쑥갓
머위대새우볶음,양파
미역오이초무침,오이
비름된장무침,비름나물
대구커틀릿/소스,당근
고춧잎무침,고춧잎
모듬소시지채소볶음,당근
애호박우렁살초무침,양파
순대채소볶음,당근
수리취복주머니꿀떡,떡(수리취떡)
시금치된장무침,시금치
양송이오이볶음,양파
오리불고기/모듬쌈,당근
페퍼로니콤비네이션피자,피자(페퍼로니피자)
뿌요,발효유(호상요구르트)/사과맛
우리밀모닝빵/딸기잼,모닝빵(슬라이스모닝빵)
비엔나채소볶음,당근
어묵곤약국,마늘
생다시마초무침,깨(참깨)
참나물땅콩가루무침,"땅콩/간것(가루, 분말)"
검정약콩밥,멥쌀(백미)/친환경
치커리참깨드레싱,"사과(부사, 후지)"
죽순느타리볶음,양파
쥐치채볶음,깨(참깨)
꼬시래기콩나물무침,콩나물
고구마돈가스/소스,유채씨유(카놀라유)
양배추사과샐러드,"사과(부사, 후지)"
치자꼬들단무지무침,깨(참깨)
메밀나물무침,메밀싹
양념치킨,"땅콩/볶은것, 껍질제거(깐것), 조각낸것"
우리쌀달콤가래떡,떡(흰가래떡)
세요요구르트,발효유(드링크요구르트)/가당
북어포무국,마늘
팥칼국수,팥(붉은팥)
달걀채소찜,당근
참깨두부카츠,해바라기유
딸기요거트,그릭요거트
깻잎양념무침,당근
애호박맛살초무침,양파
너비아니구이,해바라기유
채소김주먹밥,"기능성멥쌀(강황, 울금)"
더덕오이초무침,더덕
두부채소부침,당근
아몬드초코브라우니빵,케이크(초코무스)
고구마줄기된장무침,고구마줄기/삶은것
돈육버섯볶음/상추쌈,당근
모짜렐라치즈볼,현미유
열무된장초무침,열무
골뱅이증숙면무침,양파
새송이가지볶음,양파
우리밀유자마들렌,마들렌(치즈마들렌)
돈육갈비찜,배
느타리잔파무침,양파
도라지배무침,배
치킨너겟/머스터드소스,해바라기유
망고파인애플주스,혼합주스(망고파인애플주스)
알리오올리오스파게티,마늘
시래기된장국,마늘
브로콜리/파프리카/초고추장,브로콜리
돈육오징어볶음,당근
미더덕시금치된장국,"마늘/껍질제거(깐것), 꼭지제거"
두부스테이크,두부/부침용
당근부각,"부각(당근부각)/국용, 반조리, 절단된것"
사과버섯쏘스,사과/친환경
우렁살근대국,"마늘/껍질제거(깐것), 꼭지제거"
오이고추장무침,"마늘/껍질제거(깐것), 꼭지제거"
우동전골,"마늘/껍질제거(깐것), 꼭지제거"
후레쉬망고,망고
아이스블루베리,블루베리/냉동
비엔나소세지떡볶음,마늘/친환경
새우버거,토마토/친환경
감자튀김(줄무늬스틱)/케첩,해바라기유
삼치감자조림,"마늘/껍질제거(깐것), 꼭지제거"
우리쌀곡물바,시리얼(곡물(쌀)시리얼)
깍두기/친환경단무지,김치(깍두기)
숙주우엉잡채,"마늘/껍질제거(깐것), 꼭지제거"
마늘치킨,"마늘/껍질제거(깐것), 꼭지제거"
편육장조림,"마늘/껍질제거(깐것), 꼭지제거"
맑은미역국,"마늘/껍질제거(깐것), 꼭지제거"
상추쌈/쌈장,"마늘/껍질제거(깐것), 꼭지제거"
단호박파니르카레밥,멥쌀(백미)/친환경
치킨너겟/난,콩기름(대두유)
찰토마토,토마토/친환경
참나물무침,"마늘/껍질제거(깐것), 꼭지제거"
곤약달걀장조림,"마늘/껍질제거(깐것), 꼭지제거"
생김구이,돌김/친환경
녹차쌀밥,기능성멥쌀(녹차)
육개장,"마늘/껍질제거(깐것), 꼭지제거"
오꼬노미야끼,마(장마)
김치청국장찌개,"마늘/껍질제거(깐것), 꼭지제거"
오색현미밥,기능성멥쌀(상황버섯발아현미)
옥수수콘치즈구이,찰옥수수알/친환경
쇠고기고추장볶음,배/친환경
우리밀약과,약과
모시조개콩나물국,"마늘/껍질제거(깐것), 꼭지제거"
양념새우젓,"마늘/껍질제거(깐것), 꼭지제거"
고구마튀김,"고구마/껍질제거(깐것), 슬라이스"
수제오리떡갈비,당근/친환경
망고스무디,설탕(황설탕)/친환경
김치부침개,"마늘/껍질제거(깐것), 꼭지제거"
새송이버섯간장버터구이,"마늘/껍질제거(깐것), 꼭지제거"
장칼국수국,"마늘/껍질제거(깐것), 꼭지제거"
생크림달걀찜,당근/친환경
가지튀김/어향쏘스,"마늘/껍질제거(깐것), 꼭지제거"
닭다리튀김,"마늘/껍질제거(깐것), 꼭지제거"
부대찌개&치즈떡사리,양파/일반
마늘쫑볶음,마늘/다진것
오꼬노미계란말이,당근/국산
북어채국,마늘/다진것
브로콜리숙회/초고추장,브로콜리
돈육큐브스테이크,당근
보조밥,멥쌀(구분도미)/일반
투움바트러플파스타,마늘/다진것
미소시루,무(조선무)/국산
오지치즈후라이,유채씨유(카놀라유)
부시브레드/버터,식빵(통밀식빵)
불고기버거,양파/껍질제거(깐것)
치킨링/케찹,콩기름(대두유)
맑은순두부찌개,마늘/다진것
허니버터고구마,고구마
사골떡국,당근/국산
우불고기,당근/국산
오징어젓무생체,무(조선무)
파래김구이/양념장,마른김
탄탄면,마늘/다진것
오복채무침,마늘/다진것
칠리깐쇼새우,스위트칠리소스
캐플주스,주스(당근주스)
오소떡바/허니,어묵(통소시지말이어묵)
떠먹는생크림요거트,드레싱(허니요거트드레싱)
메밀소바,무(조선무)/국산
화분컵케익,카스텔라
크루통로메인시저샐러드,양파/국산
등심돈까스/옛날돈까스,콩기름(대두유)
알리오올리오파스타,올리브
얼큰순두부찌개,마늘
불고기데리야끼덮밥,멥쌀(백미)/일반
올방개묵김가루무침,당근
생딸기라떼,딸기
순살감자탕&수제비,"생강/껍질제거(깐것), 다진것"
아삭이고추된장무침,양파/국산
치킨너겟/허니머스타드,콩기름(대두유)
조각파인애플,파인애플
눈꽃치즈닭갈비볶음밥,멥쌀(백미)
맑은우동국물,양파/껍질제거(깐것)
자몽쥬스,주스(자몽주스)
블루베리단호박범벅,블루베리
베이비슈,슈(베이비슈)
새알미역국,마늘
고추장제육불고기,당근/국산
양배추쌈/쌈장,양배추
물만두국,당근/국산
시금치초고추장무침,마늘/다진것
허니버터인절미후라이,분말(허니버터맛분말)
블랙알리오치킨,마늘/다진것
감자양파국,마늘/다진것
해물부추전/양념장,양파/껍질제거(깐것)
유부초밥,멥쌀(백미)
가래떡떡볶이&삶은계란,당근
오징어다리튀김,콩기름(대두유)
불닭볶음면,양파
튀김볼어묵국,무(조선무)
콘치즈구이,분말(파슬리분말)
소고기두부탕국,마늘/다진것
해물볶음우동,양파/국산
직화떡불갈비/파채,파(대파)
얼린망고팝,망고/냉동
김치국,마늘/다진것
콩나물불고기,당근
상추&깻잎/쌈장,깻잎
눈꽃치즈꿀토마토,토마토
락교무침,물엿
나물비빔밥두부고추장/계란후라이,멥쌀(백미)
옥수수고로케/케찹,콩기름(대두유)
생키위주스,키위
편스토랑궁중쫄면,당근
납작만두,콩기름(대두유)
오렌지1/4,오렌지
짬뽕순두부찌개,당근
진미채고추장무침,백진미
참나물유자무침,양파
닭살야채오븐구이&샤워크림,당근
쌀국수국물,양파
해물짜조/땅콩,콩기름(대두유)
페페로니피자,설탕(백설탕)
우불고기우동,쑥갓
감자전/양념장,설탕(백설탕)
소고기뭇국,무(조선무)
고추참치볶음,당근
불고기고로케/케찹,콩기름(대두유)
조미김구이,김(구운김)/조미한것
오리엔탈파닭,고추(청양고추)
파인애플주스,파인애플
잔치국수/양념장,당근/국산
부추양파무침,마늘/다진것
코코넛새우꼬치/양념치킨,양념치킨소스
누네띠네,막대과자
닭갈비볶음밥,멥쌀(백미)
무채국,마늘/다진것
보코치니토마토샐러드/오리엔탈D,토마토(대추방울토마토)
맛쵸킹잡채말이강정,당근
생과일요거트샐러드,사과/일반
레드오렌지주스,주스(오렌지주스)
불고기타코,양파
북어회물냉면,오이
고기만두찜/초간장,간장(양조간장)
매운돈갈비찜,마늘/다진것
오징어브로콜리숙회/초고추장,브로콜리
야채튀김/양념장,설탕(백설탕)
토마토리조또,멥쌀(백미)
봉골레파스타,올리브(블랙올리브)
니수아즈샐러드/비네크레트,올리브(블랙올리브)
산고추무침,삭힌고추
자몽허니블랙티,생수
오므라이스/데미그라,멥쌀(구분도미)/일반
튀김볼우동국,양파
왕새우튀김/치폴레,콩기름(대두유)
머위대된장나물,마늘
한우찹스테이크,"마늘/껍질제거(깐것), 꼭지제거"
순대국,"마늘/껍질제거(깐것), 꼭지제거"
매콤코다리강정,"마늘/껍질제거(깐것), 꼭지제거"
새송이미나리무침,"마늘/껍질제거(깐것), 꼭지제거"
야채떡쌈조림,"마늘/껍질제거(깐것), 꼭지제거"
모듬부각,부각(감자부각)
오므라이스소스,"사과(부사, 후지)"
단호박카레라이스,멥쌀(백미)
숙주오이나물,마늘
사각피자,피자(페페로니피자)/냉동
차조현미밥,멥쌀(백미)
돈육불고기,배(신고)/GP
오이소박이,김치(오이김치)
귀리찹쌀밥,귀리(쌀귀리)/친환경
콩나물느타리버섯볶음,당근
갈비맛닭봉구이,마늘/친환경
콩나물잡채,당근/세척한것
생일케이크,케이크(쇼콜라케이크)
이면수구이,"생강/말린것(건조), 간것(가루, 분말), 껍질제거(깐것)"
참외,참외
케이준치킨샐러드,레몬
마늘빵,마늘빵
꼬마김말이강정,아몬드/슬라이스
삼치구이/고추냉이장,레몬
근대된장국,마늘/껍질제거(깐것)
돼지고기고추장볶음,키위/일반
마늘쫑새우살볶음밥,멥쌀(백미)
맑은콩나물국,"마늘/껍질제거(깐것), 꼭지제거"
배추김치,김치(배추김치)
산양유블루베리요구르트,발효산양유(드링크요구르트)
조각서리태밥,멥쌀(백미)
골뱅이채소무침(쌀국수),"사과(부사, 후지)"
치즈계란말이,당근/껍질제거(깐것)
콩나물비빔밥/실파간장,멥쌀(백미)
감자계란국,"마늘/껍질제거(깐것), 꼭지제거"
꿀닭강정,"마늘/껍질제거(깐것), 꼭지제거"
오이김치,김치(오이김치)
스승의날케이크,케이크(쌀케이크)
닭곰탕/당면,"마늘/껍질제거(깐것), 꼭지제거"
마파두부,"마늘/껍질제거(깐것), 꼭지제거"
도라지쌀가루튀김,"도라지/껍질제거(깐것), 채썬것(세절)"
순두부버섯탕,"마늘/껍질제거(깐것), 꼭지제거"
안심돈까스,돼지고기(안심)/돈가스용
미소된장국,"마늘/껍질제거(깐것), 꼭지제거"
쇠고기곤약장조림,"마늘/껍질제거(깐것), 꼭지제거"
오므라이스소스,당근/세척한것
도라지오이유자청무침,"도라지/국산, 껍질제거(깐것)"
청포도,포도(청포도(시들러스))/일반
두부호박찌개,마늘
매콤수비드연어,콩기름(대두유)
사과푸딩,푸딩(사과푸딩)
부추잡채,"마늘/껍질제거(깐것), 꼭지제거"
후리카케톳주먹밥,기장
수제비만두국,당근/껍질제거(깐것)
닭봉데리야끼소스구이,마늘/껍질제거(깐것)
양배추찜/두부쌈장,"마늘/껍질제거(깐것), 꼭지제거"
파인찹쌀꿔바로우,망고/조각낸것
차수수밥,멥쌀(백미)
소고기얼갈이배추국,마늘
감자베이컨구이,"감자/구운것, 껍질제거(깐것)"
인델리카레라이스,멥쌀(백미)
꽈배기핫도그,핫도그
수박,수박
시금치토장국,"마늘/껍질제거(깐것), 꼭지제거"
오리불고기,당근/세척한것
알감자버터구이,감자(알감자)
산채비빔밥/두부고추장,멥쌀(백미)
수박,수박
전복미역국,"마늘/껍질제거(깐것), 꼭지제거"
숙주크래미무침,"마늘/껍질제거(깐것), 꼭지제거"
생일축하쿠키,쿠키
닭안심크런치치킨텐더,유채씨유(카놀라유)
파인소스,깨(검정깨(흑임자))/볶은것
수리취절편,떡(수리취떡)
열무김치,김치(열무김치)
병아리콩밥,멥쌀(백미)
아욱국,"마늘/껍질제거(깐것), 꼭지제거"
매운돼지갈비찜,사과
자장떡볶이,당근
스팸김치볶음밥,기능성멥쌀(칼슘철분강화)
요꼬노미야끼,숙주나물/국산
찰보리밥,멥쌀(백미)
홍게살연두부국,마늘/껍질제거(깐것)
토마토소스파스타샐러드,토마토(완숙토마토)
임연수순살카레구이,마늘/껍질제거(깐것)
당귀수육,마늘/껍질제거(깐것)
두부쌈장,"마늘/껍질제거(깐것), 꼭지제거"
참나물겉절이,"마늘/껍질제거(깐것), 꼭지제거"
우리밀아이스슈,아이스슈/딸기맛
미역줄기게살볶음,"마늘/껍질제거(깐것), 꼭지제거"
돈육김치찌개(목심),마늘/껍질제거(깐것)
코다리강정/데리야끼,"땅콩/볶은것, 껍질제거(깐것), 조각낸것"
소불고기덮밥,멥쌀(백미)
그린샐러드&블루베리소스,레몬
딸기아이스크림,아이스크림/딸기맛
수제브라우니,쿠키(초코칩쿠키)
오징어브로콜리숙회,레몬
시금치프리타타,토마토(대추방울토마토)
유니자장면,당근
열무된장무침,마늘
쌀눈현미밥(칼슘),기능성멥쌀(쌀눈)
황태두부국,"마늘/껍질제거(깐것), 꼭지제거"
애호박베이컨볶음,"마늘/껍질제거(깐것), 꼭지제거"
아귀강정,양파/껍질제거(깐것)
통살새우까스,패티(새우패티)
콘소스,사과
쌀눈쌀보리밥,기능성멥쌀(가바)
메이플피칸파이,달걀(난황)
부대찌개,"마늘/껍질제거(깐것), 꼭지제거"
가지호박무침,"마늘/껍질제거(깐것), 꼭지제거"
블랙오리불고기,당근/껍질제거(깐것)
닭다리살훈제&머스터드,허니머스터드소스/소포장
꿀토마토,토마토
자두,자두
귀리밥,귀리(쌀귀리)/일반
쇠고기떡국,당근/껍질제거(깐것)
피자맛너비아니구이,배
말랑피치,젤리음료/복숭아맛
청차조밥,멥쌀(백미)
노각무침,"마늘/껍질제거(깐것), 꼭지제거"
현미찹쌀기장밥,기장
수제초코파이,파이(초코파이)
쥐눈이콩밥,멥쌀(백미)/GP
된장찌개,"마늘/껍질제거(깐것), 꼭지제거"
봄나물겉절이,"마늘/껍질제거(깐것), 꼭지제거"
불닭갈비,"파인애플/껍질제거(깐것), 조각낸것"
꽈리초멸치볶음,"마늘/껍질제거(깐것), 꼭지제거"
베이컨계란말이,당근
쿠키생크림단팥빵,단팥빵
파인애플바,"파인애플/껍질제거(깐것), 조각낸것"
갈만탕,"마늘/껍질제거(깐것), 꼭지제거"
부추겉절이,당근
깍두기,김치(깍두기)
쌀밥,멥쌀(백미)/GP
삼계탕,밤/껍질제거(깐것)
모둠채소감자조림,당근
건새우견과볶음,아몬드/슬라이스
망고주스,주스(망고주스)
마카롱,마카롱(라즈베리마카롱)
어묵매운탕,"마늘/껍질제거(깐것), 꼭지제거"
모듬야채샐러드,양파/껍질제거(깐것)
꿀간장닭봉조림,"마늘/껍질제거(깐것), 꼭지제거"
스파게티/토마토,토마토
알타리무김치,김치(총각김치)
수제마늘빵,마늘빵/생지
골드키위,키위(골드참다래)
열무비빔밥,멥쌀(백미)/GP
근대재첩국,"마늘/껍질제거(깐것), 꼭지제거"
모듬과일,"멜론(머스크멜론)/껍질제거(깐것), 슬라이스"
패스츄리새우피자,"마늘/껍질제거(깐것), 꼭지제거"
비타민주스,주스(다채(그린비타민)주스)
강황쌀완두콩밥,멥쌀(백미)/GP
닭개장,"마늘/껍질제거(깐것), 꼭지제거"
달고기카레구이,고추(붉은고추(홍고추))
배추김치,김치(배추김치)
완숙토마토,토마토(대추방울토마토)
영양밥,밤/껍질제거(깐것)
쇠고기미역국,"멸치(큰멸치, 대멸)"
삼색나물,"마늘/껍질제거(깐것), 꼭지제거"
치즈불닭,"사과(부사, 후지)"
우리쌀케이크,조각케이크(레드벨벳조각케이크)
갈비탕,"마늘/껍질제거(깐것), 꼭지제거"
분모자불떡볶이,당근
탱탱새우부추전,당근
오리엔탈치커리무침,양파/껍질제거(깐것)
속청콩밥,멥쌀(백미)/GP
단배추조갯살된장국,"마늘/껍질제거(깐것), 꼭지제거"
모듬야채스틱,"마늘/껍질제거(깐것), 꼭지제거"
세발돌나물무침,"마늘/껍질제거(깐것), 꼭지제거"
버터플라이새우치즈구이,마늘/국산
깻잎지,깻잎통조림
요구르트/무지방,발효유(액상요구르트)/무가당
쇠고기콩나물국,"마늘/껍질제거(깐것), 꼭지제거"
아몬드멸치조림,아몬드/슬라이스
갑오징어곤약조림,깨(참깨)/볶은것
나쵸치킨샐러드,사과
생크림크로칸슈,슈크림빵
홍국쌀병아리콩밥,기능성찹쌀(홍국균)
추어탕,"마늘/껍질제거(깐것), 꼭지제거"
코다리살엿장조림,"땅콩/볶은것, 껍질제거(깐것), 조각낸것"
담양떡갈비,밤/껍질제거(깐것)
청포도&적포도,포도(레드글로브)
검정쌀밥,멥쌀(백미)/GP
고구마빵,케이크(고구마무스)
마늘쫑고추장무침,"마늘/껍질제거(깐것), 꼭지제거"
땡초부추전,당근
야채쌈오리,당근
온국수,당근
닭통살꼬치,빵가루(프라이드닭꼬치)
오렌지민트주스,주스(과일채소샐러드주스)
삶은계란,달걀(전란)
모양설기,시루떡(딸기잼설기)
상추오이파겉절이,"마늘/껍질제거(깐것), 꼭지제거"
칠리소스닭봉구이,"마늘/껍질제거(깐것), 꼭지제거"
새송이가지전,큰느타리버섯(새송이버섯)
해물된장찌개,"마늘/껍질제거(깐것), 꼭지제거"
치킨샐러드,토마토(방울토마토(체리토마토))/샐러드용
라운드햄구이,달걀(전란)
오이소박이,"마늘/껍질제거(깐것), 꼭지제거"
단호박스프,양파/껍질제거(깐것)
루꼴라스파게티/토마토,토마토
목살스테이크,"사과(부사, 후지)"
사천마라찜닭,당근
숙주부추무침,"마늘/껍질제거(깐것), 꼭지제거"
참나물전,당근
경주빵,경주빵
그린카레라이스,멥쌀(백미)/GP
들깨미역국,디포리
블럭치즈돈카츠,"사과(부사, 후지)"
흑당버블라떼,우유
강황블루베리쌀밥,"기능성멥쌀(강황, 울금)"
대합미역국,디포리
청포묵토마토샐러드,레몬/일반
달래오코노모야끼,마
당근사과주스,과채주스(당근농축과즙)
쌀보리밥,멥쌀(백미)/GP
육칼국수,"마늘/껍질제거(깐것), 꼭지제거"
참나물들깨가루무침,"마늘/껍질제거(깐것), 꼭지제거"
돼지고기불고기,배
삼치데리야끼구이,양파/껍질제거(깐것)
삼색계란찜,당근
오징어브로콜리초장,"마늘/껍질제거(깐것), 꼭지제거"
불낙전골,배
북어콩나물국,"마늘/껍질제거(깐것), 꼭지제거"
풋고추멸치조림,"마늘/껍질제거(깐것), 꼭지제거"
꽃두부구이,고추(붉은고추(홍고추))
등갈비양념구이,"사과(부사, 후지)"
망고스틱,아이스망고
아삭건강비빔밥,멥쌀(현미)/GP
근대모시조개국,"마늘/껍질제거(깐것), 꼭지제거"
우엉땅콩조림,땅콩
먹물고르곤졸라피자,피자(오징어먹물피자)
검정쌀속청콩밥,멥쌀(백미)/GP
우거지된장국,"마늘/껍질제거(깐것), 꼭지제거"
파인애플수육,당근
오이도라지무침,"도라지/국산, 껍질제거(깐것)"
해물김치전,고추(붉은고추(홍고추))
우리밀로미아스,쿠키(피넛쿠키)/생지
메밀국수무침,키위
쇠고기국밥,멥쌀(백미)/GP
통곡물잔멸치볶음,"마늘/껍질제거(깐것), 꼭지제거"
골뱅이깻잎닭강정,배
피치자몽에이드,레몬
청국장찌개,"마늘/껍질제거(깐것), 꼭지제거"
봉추찜닭,당근
파송송고갈비,레몬
미니애플파이,파이(파인애플파이)/생지
카프레제샐러드,토마토
다시마/양배추쌈,양배추
전복곤드레밥,멥쌀(백미)/GP
미역바지락된장국,"마늘/껍질제거(깐것), 꼭지제거"
플라워치킨,해바라기유
수리취앙금떡,떡(수리취떡)
과일오미자화채,블루베리/국산
홍국쌀밥,기능성찹쌀(홍국균)
단배추시래기된장국,"마늘/껍질제거(깐것), 꼭지제거"
샐러드파스타,토마토(방울토마토(체리토마토))
오리고기버섯불고기,"마늘/껍질제거(깐것), 꼭지제거"
그린빈야채굴소스볶음,양파/껍질제거(깐것)
치즈퐁듀,도넛(치즈도넛)
가지포도&청포도,포도(블랙올림피아)
모듬어묵국,"마늘/껍질제거(깐것), 꼭지제거"
돈낙새전골,배
고등어양념구이,"마늘/껍질제거(깐것), 꼭지제거"
플라워파이,파이
어묵육개장,"마늘/껍질제거(깐것), 꼭지제거"
야채쌈장샐러드,당근
갈릭소스수육,당근
쫄면콩나물무침,배
족발냉채,배
어묵잡채,당근
고구마파이,파이(고구마파이)/생지
모듬쌈/다양케,양배추
순두부찌개/돈육,"마늘/껍질제거(깐것), 꼭지제거"
가지애호박볶음,"마늘/껍질제거(깐것), 꼭지제거"
교촌치킨,"땅콩/간것(가루, 분말)"
삼색소보루비빔밥,멥쌀(백미)/GP
참나물무침,"마늘/껍질제거(깐것), 꼭지제거"
쑥절편,떡(쑥절편)/국산
콩나물실곤약무침,배
갈치구이양념,파(쪽파)/껍질제거(깐것)
바지락살아욱국,"마늘/껍질제거(깐것), 꼭지제거"
만두품은달걀말이,깻잎
미숫가루,미숫가루
브로콜리프리타타,토마토(노란대추방울토마토)
감귤유과,과자(조청함유과자)
닭날개두반장조림,"마늘/껍질제거(깐것), 꼭지제거"
모듬야채겉절이,당근
버섯시금치해물전,양파/껍질제거(깐것)
화이트슈,아이스슈
물냉면,배
근대된장국,"마늘/껍질제거(깐것), 꼭지제거"
두부김치국,"마늘/껍질제거(깐것), 꼭지제거"
취나물된장무침,"마늘/껍질제거(깐것), 꼭지제거"
새송이버섯계란전,큰느타리버섯(새송이버섯)
우리밀밥,멥쌀(백미)/GP
감말랭이잔멸치볶음,감(말랭이)
참나물부추겉절이,"마늘/껍질제거(깐것), 꼭지제거"
국물떡볶이&튀김,당근
우리밀수제쿠키,쿠키/생지
과일우유화채,블루베리
기장밥,기장
연두부된장국,"마늘/껍질제거(깐것), 꼭지제거"
목살찹스테이크,파인애플(골드파인애플)/비가식부위제거
콜드파스타,올리브(블랙올리브)/절인것
참치단배추조림,"마늘/껍질제거(깐것), 꼭지제거"
배추김치(영양),김치(배추김치)
적/청포도,포도(골덴마스컷)
칼슘업밥,기능성기장(칼슘강화)
돼지등뼈감자탕,"마늘/껍질제거(깐것), 꼭지제거"
오리훈제/소스,양파/껍질제거(깐것)
미역줄기볶음,"마늘/껍질제거(깐것), 꼭지제거"
해물김치전,당근
보쌈김치,"밤/김치제조용, 껍질제거(깐것)"
토마토황도절임,토마토
하루야채15곡밥,멥쌀(백미)
애플크라운파이,파이(사과파이)/생지
해물된장찌개,"마늘/껍질제거(깐것), 꼭지제거"
오향장육/순대,"마늘/껍질제거(깐것), 꼭지제거"
상추/깻잎/쌈장,"마늘/껍질제거(깐것), 꼭지제거"
양파부추초무침,양파/껍질제거(깐것)
건파래볶음밥,멥쌀(백미)
꼬지어묵국,"마늘/껍질제거(깐것), 꼭지제거"
콩나물맛살무침,"마늘/껍질제거(깐것), 꼭지제거"
로제떡볶이,"마늘/껍질제거(깐것), 꼭지제거"
김말이튀김,해바라기유
뉴욕식핫도그,당근
수제치킨텐더,다채(그린비타민)
감자튀김/갈릭후라이,토마토케첩/파우치포장
파인애플,파인애플(골드파인애플)/비가식부위제거
시리얼/우유,시리얼(과즙시리얼)
매콤토마토카레라이스/눈꽃치즈,멥쌀(백미)
타코샐러드,레몬
간장닭다리구이/100g,닭고기(넓적다리)/일반
요구르트/비피더스사과,발효유(드링크요구르트)/사과맛
팥차조밥,차조
쇠고기미역국,디포리
얼큰돼지갈비찜/단호박,배
치커리사과무침/유자고춧,"사과(부사, 후지)"
달걀만두,당근
비지미,마늘/김치제조용
깍두기,마늘/김치제조용
생크림와플,분말/디저트용
순대돼지국밥/양념장,기능성멥쌀(쌀눈)
