SE_ID,MLSV_YMD,FOOD_NM,FDINGR_NM
1,20210712,현미찹쌀밥,멥쌀(백미)
2,20210712,현미찹쌀밥,멥쌀(현미)/친환경
3,20210712,현미찹쌀밥,찹쌀(백미)/친환경
4,20210712,얼갈이배추된장국,다시마/말린것(건조)
5,20210712,얼갈이배추된장국,된장
6,20210712,얼갈이배추된장국,마늘/껍질제거(깐것)
7,20210712,얼갈이배추된장국,"멸치(큰멸치,대멸)"
8,20210712,얼갈이배추된장국,"배추(얼갈이,단배추)"
9,20210712,얼갈이배추된장국,"새우(꽃새우)/말린것(건조),머리제거(두절)"
10,20210712,얼갈이배추된장국,파(대파)
11,20210712,쌀국수골뱅이무침(우리밀),간장/장아찌용
12,20210712,쌀국수골뱅이무침(우리밀),고둥(관절매물고둥(보라골뱅이))
13,20210712,쌀국수골뱅이무침(우리밀),고추장
14,20210712,쌀국수골뱅이무침(우리밀),고춧가루
15,20210712,쌀국수골뱅이무침(우리밀),깨(참깨)/볶은것
16,20210712,쌀국수골뱅이무침(우리밀),마늘/껍질제거(깐것)
17,20210712,쌀국수골뱅이무침(우리밀),맛술
18,20210712,쌀국수골뱅이무침(우리밀),물엿(황물엿)
19,20210712,쌀국수골뱅이무침(우리밀),백진미
20,20210712,쌀국수골뱅이무침(우리밀),"사과(부사,후지)"
21,20210712,쌀국수골뱅이무침(우리밀),설탕(백설탕)
22,20210712,쌀국수골뱅이무침(우리밀),소금(꽃소금)
23,20210712,쌀국수골뱅이무침(우리밀),시소
24,20210712,쌀국수골뱅이무침(우리밀),식초(사과식초)
25,20210712,쌀국수골뱅이무침(우리밀),쌀국수/국산
26,20210712,쌀국수골뱅이무침(우리밀),"양배추(적채,붉은양배추)"
27,20210712,쌀국수골뱅이무침(우리밀),양파
28,20210712,쌀국수골뱅이무침(우리밀),오이
29,20210712,쌀국수골뱅이무침(우리밀),탄산음료(사이다)
30,20210712,쌀국수골뱅이무침(우리밀),파(실파)
31,20210712,쌀국수골뱅이무침(우리밀),파인애플/비가식부위제거
32,20210712,LA갈비오븐구이,간장(양조간장)
33,20210712,LA갈비오븐구이,"깨(참깨)/볶은것,껍질제거(깐것)"
34,20210712,LA갈비오븐구이,돼지고기(갈비)/구이용
35,20210712,LA갈비오븐구이,"마늘/껍질제거(깐것),꼭지제거"
36,20210712,LA갈비오븐구이,물엿
37,20210712,LA갈비오븐구이,바비큐소스
38,20210712,LA갈비오븐구이,배/국산
39,20210712,LA갈비오븐구이,"생강/국산,껍질제거(깐것)"
40,20210712,LA갈비오븐구이,설탕(흑설탕)
41,20210712,LA갈비오븐구이,양파/껍질제거(깐것)
