FOOD_NM,INGREDIENTS,TYPE
양념치킨,"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬
우리쌀달콤가래떡,떡(흰가래떡),후식
세요요구르트,발효유(드링크요구르트)/가당,후식
북어포무국,마늘,국
팥칼국수,팥(붉은팥),밥
달걀채소찜,당근,반찬
참깨두부카츠,해바라기유,반찬
딸기요거트,그릭요거트,후식
깻잎양념무침,당근,반찬
애호박맛살초무침,양파,반찬
너비아니구이,해바라기유,반찬
채소김주먹밥,"기능성멥쌀(강황, 울금)",밥
더덕오이초무침,더덕,반찬
두부채소부침,당근,반찬
아몬드초코브라우니빵,케이크(초코무스),후식
고구마줄기된장무침,고구마줄기/삶은것,반찬
돈육버섯볶음/상추쌈,당근,반찬
모짜렐라치즈볼,현미유,후식
열무된장초무침,열무,반찬
골뱅이증숙면무침,양파,반찬
새송이가지볶음,양파,반찬
우리밀유자마들렌,마들렌(치즈마들렌),후식
돈육갈비찜,배,반찬
느타리잔파무침,양파,반찬
도라지배무침,배,반찬
치킨너겟/머스터드소스,해바라기유,반찬
망고파인애플주스,혼합주스(망고파인애플주스),후식
알리오올리오스파게티,마늘,밥
시래기된장국,마늘,국
브로콜리/파프리카/초고추장,브로콜리,반찬
돈육오징어볶음,당근,반찬
미더덕시금치된장국,"마늘/껍질제거(깐것), 꼭지제거",국
두부스테이크,두부/부침용,반찬
당근부각(완제),"부각(당근부각)/국용, 반조리, 절단된것",반찬
사과버섯쏘스,사과/친환경,후식
우렁살근대국,"마늘/껍질제거(깐것), 꼭지제거",국
오이고추장무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
우동전골,"마늘/껍질제거(깐것), 꼭지제거",국
후레쉬망고,망고,후식
아이스블루베리,블루베리/냉동,후식
비엔나소세지떡볶음,마늘/친환경,반찬
새우버거,토마토/친환경,밥
감자튀김(줄무늬스틱)/케첩,해바라기유,반찬
삼치감자조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
우리쌀곡물바,시리얼(곡물(쌀)시리얼),후식
깍두기/친환경단무지,김치(깍두기),김치
숙주우엉잡채,"마늘/껍질제거(깐것), 꼭지제거",반찬
마늘치킨,"마늘/껍질제거(깐것), 꼭지제거",반찬
편육장조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
맑은미역국,"마늘/껍질제거(깐것), 꼭지제거",국
상추쌈/쌈장,"마늘/껍질제거(깐것), 꼭지제거",반찬
단호박파니르카레밥,멥쌀(백미)/친환경,밥
치킨너겟/난,콩기름(대두유),반찬
찰토마토,토마토/친환경,후식
참나물무침(생),"마늘/껍질제거(깐것), 꼭지제거",반찬
곤약달걀장조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
생김구이,돌김/친환경,반찬
녹차쌀밥,기능성멥쌀(녹차),밥
육개장(양지),"마늘/껍질제거(깐것), 꼭지제거",반찬
오꼬노미야끼,마(장마),반찬
김치청국장찌개,"마늘/껍질제거(깐것), 꼭지제거",국
오색현미밥,기능성멥쌀(상황버섯발아현미),밥
옥수수콘치즈구이,찰옥수수알/친환경,후식
쇠고기고추장볶음,배/친환경,반찬
우리밀약과,약과,후식
조랑떡국(김가루),"마늘/껍질제거(깐것), 꼭지제거",국
모시조개콩나물국,"마늘/껍질제거(깐것), 꼭지제거",국
양념새우젓,"마늘/껍질제거(깐것), 꼭지제거",반찬
고구마튀김,"고구마/껍질제거(깐것), 슬라이스",반찬
*수제오리떡갈비,당근/친환경,반찬
망고스무디,설탕(황설탕)/친환경,후식
김치부침개,"마늘/껍질제거(깐것), 꼭지제거",반찬
새송이버섯간장버터구이,"마늘/껍질제거(깐것), 꼭지제거",반찬
장칼국수국,"마늘/껍질제거(깐것), 꼭지제거",밥
생크림달걀찜,당근/친환경,반찬
가지튀김/어향쏘스,"마늘/껍질제거(깐것), 꼭지제거",반찬
단호박크림수프(크루통),양파/껍질제거(깐것),국
닭다리튀김,"마늘/껍질제거(깐것), 꼭지제거",반찬
부대찌개&치즈떡사리,양파/일반,국
마늘쫑볶음,마늘/다진것,반찬
오꼬노미계란말이,당근/국산,반찬
마시는요거트(사과),유산균음료/사과맛,후식
북어채국,마늘/다진것,국
브로콜리숙회/초고추장,브로콜리,반찬
돈육큐브스테이크,당근,반찬
보조밥,멥쌀(구분도미)/일반,밥
투움바트러플파스타,마늘/다진것,밥
미소시루,무(조선무)/국산,반찬
오지치즈후라이,유채씨유(카놀라유),후식
부시브레드/버터,식빵(통밀식빵),후식
불고기버거,양파/껍질제거(깐것),반찬
치킨링/케찹,콩기름(대두유),반찬
맑은순두부찌개,마늘/다진것,반찬
허니버터고구마,고구마,후식
사골떡국,당근/국산,국
우불고기,당근/국산,반찬
오징어젓무생체,무(조선무),김치
파래김구이/양념장,마른김,반찬
탄탄면,마늘/다진것,국
오복채무침,마늘/다진것,반찬
칠리깐쇼새우,스위트칠리소스,반찬
캐플주스,주스(당근주스),후식
나물비빔밥(&계란후라이)/볶음고,멥쌀(백미),밥
오소떡바/허니S,어묵(통소시지말이어묵),후식
떠먹는생크림요거트,드레싱(허니요거트드레싱),후식
메밀소바,무(조선무)/국산,국
화분컵케익,카스텔라,후식
크루통로메인시저샐러드,양파/국산,후식
등심돈까스/옛날돈까스S,콩기름(대두유),반찬
알리오올리오파스타,올리브,밥
얼큰순두부찌개,마늘,국
불고기데리야끼덮밥,멥쌀(백미)/일반,밥
올방개묵김가루무침,당근,반찬
통살새우볼/타르타르D,콩기름(대두유),반찬
생딸기라떼,딸기,후식
순살감자탕&수제비,"생강/껍질제거(깐것), 다진것",반찬
아삭이고추된장무침,양파/국산,반찬
치킨너겟/허니머스타드,콩기름(대두유),반찬
조각파인애플,파인애플,후식
눈꽃치즈닭갈비볶음밥,멥쌀(백미),밥
