SE_ID,SC_GRAD_VLUE,NGST_QY
1,귀리쌀밥,205
2,설렁탕,362
3,돈육달걀장조림,81
4,고추장멸치볶음,0
5,모닝빵샌드위치,178
6,귀리쌀밥,205
7,설렁탕,217
8,돈육달걀장조림,94
9,고추장멸치볶음,73
10,모닝빵샌드위치,35
11,귀리쌀밥,164
12,돈육달걀장조림,135
13,고추장멸치볶음,91
14,모닝빵샌드위치,0
15,귀리쌀밥,205
16,설렁탕,290
17,돈육달걀장조림,135
18,모닝빵샌드위치,178
19,귀리쌀밥,164
20,설렁탕,362
21,돈육달걀장조림,135
22,고추장멸치볶음,91
23,석박지,41
24,모닝빵샌드위치,178
25,귀리쌀밥,205
26,설렁탕,362
27,돈육달걀장조림,135
28,고추장멸치볶음,91
29,모닝빵샌드위치,178
30,귀리쌀밥,205
31,설렁탕,362
32,돈육달걀장조림,135
33,고추장멸치볶음,36
34,모닝빵샌드위치,178
35,귀리쌀밥,205
36,설렁탕,290
37,돈육달걀장조림,135
38,고추장멸치볶음,91
39,모닝빵샌드위치,178
40,귀리쌀밥,164
41,설렁탕,362
42,돈육달걀장조림,108
43,고추장멸치볶음,0
44,석박지,41
45,모닝빵샌드위치,178
46,귀리쌀밥,205
47,설렁탕,362
48,돈육달걀장조림,135
49,석박지,24
50,모닝빵샌드위치,71
51,귀리쌀밥,82
52,설렁탕,290
53,돈육달걀장조림,108
54,고추장멸치볶음,91
55,모닝빵샌드위치,178
56,귀리쌀밥,123
57,설렁탕,290
58,돈육달걀장조림,135
59,고추장멸치볶음,0
60,석박지,41
61,모닝빵샌드위치,178
62,귀리쌀밥,164
63,설렁탕,362
64,돈육달걀장조림,135
65,고추장멸치볶음,0
66,모닝빵샌드위치,178
67,귀리쌀밥,143
68,설렁탕,290
69,돈육달걀장조림,108
70,고추장멸치볶음,0
71,모닝빵샌드위치,178
72,귀리쌀밥,82
73,설렁탕,217
74,돈육달걀장조림,27
75,고추장멸치볶음,0
76,모닝빵샌드위치,178
77,귀리쌀밥,0
78,설렁탕,217
79,돈육달걀장조림,40
80,고추장멸치볶음,0
81,귀리쌀밥,164
