FOOD_NM,INGREDIENT
표고버섯호박볶음,깨(참깨)/껍질제거(깐것)
고구마치즈돈까스,설탕(백설탕)
소시지케첩볶음,마늘/일반
나가사끼새알심만두국,청경채/일반
두부,마늘/일반
건새우조림,설탕(백설탕)
순대야채볶음,간장(양조간장)
공신젤리,젤리
오리훈제구이,오리훈제/슬라이스
바지락된장찌개,팽이버섯/일반
리얼피치아이스티,생수
소고기카레라이스,분말(카레분말)/순한맛
숙주게맛살무침,마늘/일반
치킨텐더또띠아,마요네즈(전란)
우엉채어묵조림,설탕(백설탕)
바나나,멜론(머스크멜론)
김치두부국,두부/찌개용
갈릭갈비떡볶음,파(대파)/일반
더블치즈투움바스테이크,양파/일반
애플망고주스,혼합주스(망고파인애플주스)
연근유자청샐러드,유자청
단풍케이크,케이크(통밀케이크)
삼치데리야끼구이,튀김가루
소고기미역국,한우(양지)/국산
콩나물국,파(대파)/일반
명품떡갈비,양송이버섯/일반
치코바치킨덮밥,굴소스/국산
연두부달걀국,간장(재래간장)
오오새우까스,콩기름(대두유)
노란키위,키위(골드참다래)
순살닭갈비,당근
감자밥,감자/껍질제거(깐것)
두부미역된장국,팽이버섯
유니짜장밥,후추
만두탕수,간장(양조간장)
세종케이크,찜케이크(우리밀찜케이크)
버섯콩나물밥,참기름/국산
오이게맛살무침,설탕(백설탕)
불닭팽이버섯,불닭소스
콩나물김치국,김치(배추김치)/숙성시킨것
명엽채볶음,깨(참깨)/볶은것
할로윈초코칩녹차라떼,고구마
할로윈오므라이스,콩기름(대두유)
짜장치킨,"생강/국산, 껍질제거(깐것)"
치커리흑임자소스무침,설탕(백설탕)
감자메추리알조림,설탕(백설탕)
고등어고추장양념구이,설탕(백설탕)
순두부찌개,호박(애호박)/친환경
검정쌀밥,멥쌀(백미)/친환경
김치,김치(배추김치)
열무된장국,다시마/말린것(건조)
쁘링클치킨,콩기름(대두유)
멸치볶음,콩기름(대두유)
시금치나물무침,간장(양조간장)/국산
통닭다리구이,소금(꽃소금)
감자된장국,양파/친환경
도토리묵무침,마늘
배,배
간장불고기덮밥,멥쌀(백미)
양배추쌈,간장(양조간장)
비엔나소시지야채볶음,소시지(비엔나소시지)
몬테크리스토샌드위치,양배추
북어채달걀국,무(조선무)/친환경
온두부찜,두부(검은깨두부)
곡밥,찹쌀(백미)/친환경
팽이버섯부추무침,간장(양조간장)
동초나물무침,간장(양조간장)/국산
돼지갈비구이,파(대파)/친환경
맑은콩나물국,다시마/말린것(건조)
톳밥,깨(참깨)/볶은것
멸치된장찌개,된장(전통된장)/전통식품인증
숙주오이무침,소금(꽃소금)
골뱅이무침,양파/친환경
가지애호박라자냐,토마토(대추방울토마토)
새우튀김우동,어묵(종합어묵)
한샤인머스캣,포도(골덴마스컷)
콩고기주먹밥,멥쌀(백미)/친환경
불고기마요네즈떡갈비,피망(청피망)/친환경
멜론,멜론(머스크멜론)/GP
브로콜리무침,브로콜리/친환경
소고기낙지볶음,피망(청피망)/친환경
토마토파인애플샐러드,과즙음료(레몬)
단호박무침,소금(구운소금)
조개살미역국,간장(재래간장)/친환경
삼색나물무침,소금(꽃소금)
닭볶음탕,"마늘/껍질제거(깐것), 꼭지제거"
오렌지,오렌지
캠핑모듬구이,돼지고기(삼겹살)
김치비빔국수,파(쪽파)
돌산갓김치,김치(백김치)
탕수만두,콩기름(대두유)
가을영양밥,팥(붉은팥)
청국장찌개,청국장
감자채피망볶음,참기름
코다리살강정,깨(참깨)/볶은것
모듬피클,피클(모둠피클)
반미샌드위치,당근/친환경
삼치살구이,배/친환경
고로케,콩기름(대두유)
망고샐러드,버터
라임,음료/자두맛
페이스트리치킨버거,드레싱(화이트드레싱)
꽁치김치조림,파(대파)
양송이버섯크림스프,멸균유
밥,돌김자반
웨지감자구이,설탕(백설탕)
야채볶음밥,참기름
만두튀김,콩기름(대두유)
요그릭,발효유(호상요구르트)/블루베리맛
애플파이,파이(사과파이)/생지
단호박두부카레라이스,하이스가루
소시지오므라이스,당근/친환경
케이크,케이크(미니케이크)
파인애플,파인애플/비가식부위제거
숭늉,멥쌀(백미)
오이고추된장무침,된장(메주된장)
순살감자탕,건고추
닭목살조림,무쌈
육원전,"동그랑땡/친환경, 불갈비맛"
삼치엿장조림,콩기름(대두유)
사과만주,만주(왕만주)
포크커틀렛,양송이버섯/친환경
연근조림,간장(양조간장)
옥수수밥,멥쌀(백미)/친환경
상추겉절이,파(대파)
아이스호떡,아이스크림
한반도돈까스,돈가스소스
가지나물,참기름
청포묵무침,깨(참깨)/볶은것
소고기된장찌개,다시마/말린것(건조)
닭감자조림,간장(양조간장)
탕수육,콩기름(대두유)
소고기우거지국,콩나물/친환경
감,감(연시)
오이파프리카스틱쌈,참기름
통곡물멸치볶음,"멸치(작은멸치, 가이리)"
유기농우유,우유
대구살무국,무(조선무)/친환경
스팸김치볶음밥,토마토케첩
청경채겉절이,간장(양조간장)
뜨끈한유부우동,한우(설도)/불고기용
잠발라야닭다리오븐구이,"닭고기(다리, 북채)"
칠리탕수육,돼지고기(등심)
바질크림떡볶이,떡볶이떡/국산
밤고구마라떼,꿀
달걀프라이,콩기름(대두유)
통살오징어꼬치,튀김(오징어링)/국산
꽃게된장국,양파
무생채비빔밥,고추장
쪽파김치,간장
찹쌀주악,찹쌀약과
견과류멸치볶음,콩기름(대두유)
단감,감(단감)
돼지등뼈감자탕,고춧가루/국산
피망잡채,깨(참깨)/볶은것
단호박돼지갈비찜,간장(양조간장)/국산
애느타리버섯볶음,콩기름(대두유)
마라탕,소스/매운맛
꿔바로우,사과
오렌지푸딩,푸딩(오렌지푸딩)
녹차밥,찹쌀(녹미)/친환경
고구마돼지갈비찜,배
궁채들깨나물,"깨(들깨)/볶은것, 간것(가루, 분말)"
삼치매실유자청구이,데리야끼소스
야채달걀말이,달걀(전란)
돼지불고기,양파/친환경
콩나물맑은국,다시마/말린것(건조)
쵸코설기,시루떡(초코설기)
훈제오리야채볶음,간장(양조간장)/국산
미소된장국,유부
로제찜닭,고추장
실곤약채소무침,"마늘/껍질제거(깐것), 꼭지제거"
떡갈비김치킨덮밥버거,멥쌀(백미)
아이스황도,탄산음료(사이다)
양념닭꼬치튀김,무쌈/절단된것
토마토스파게티,돼지고기햄(등심)
마늘바게트,크림(휘핑크림)
쌀밥,멥쌀(백미)/친환경
꼬치어묵우동,당근/친환경
두부스틱샐러드,마요네즈(전란)
도라지오징어포무침,깨(참깨)/볶은것
떠먹는요거트,발효유(호상요구르트)/딸기맛
김치덮밥,참기름
파인애플불고기피자,치즈(모짜렐라치즈)
레드키위,키위(레드키위)/일반
유부우동국,간장(재래간장)/친환경
초코도넛,도넛(카카오구운도넛)
견과류볶음,참기름
등뼈짬뽕국,청경채
족발덮밥,고춧가루/김치제조용
해쉬브라운피자,피자도우
샤인머스캣포도,포도(골덴마스컷)
열무된장무침,된장
연근치커리샐러드,치커리
감귤,감귤(조생)
돼지갈비탕,달걀(전란)
가자미구이,콩기름(대두유)
큐브치즈샐러드,올리브유
들깨수제비국,호박(애호박)/친환경
연어구이,식초(사과식초)
김치녹두빈대떡,당근
부추무침,부추
시나몬롤파이,파이
오리고기마늘볶음,오리고기/슬라이스
고등어무조림,마늘
볼어묵볶음,콩기름(대두유)
와플,시럽(초코시럽)
생깻잎장아찌,참기름
톳배무침,된장(전통된장)/전통식품인증
어묵우동국,튀김(어묵튀김)
돼지고기콩나물볶음,콩나물
씨앗찰호떡,콩기름(대두유)
브로콜리초고추장,식초(사과식초)
새우탕,고추장/전통식품인증
육전,고추(붉은고추(홍고추))
치스스틱,치즈(카테지치즈)
양파채절이,깨(참깨)
소불고기우동,쑥갓
짬뽕만두찜,만두(김치왕만두)
찰밥,보리(쌀보리)
블루레몬에이드,에이드(핑크레몬에이드)
망고그린샐러드,양상추/친환경
갈릭브레드,마늘빵/반조리
돼지고기두루치기,물엿
콩조림,깨(참깨)/볶은것
팔미에파이,파이(사과파이)
홍시,감(연시)
순살프라이드치킨,사과
도토리묵야채무침,물엿
통닭튀김,프라이드치킨
갈치소금구이,소금(꽃소금)
도시락비빔밥,멥쌀(백미)
북어콩나물국,디포리
도라지나물,당근/국산
오이,설탕(백설탕)
임연수살카레구이,콩기름(대두유)
돼지고기몸국,후추
생선커틀렛,마요네즈(유정란)
고등어구이,콩기름(대두유)
비빔냉면,고추장(냉면장)
무화과리코타치즈샐러드,깨(참깨)
오징어김치전,밀가루력분/국산
족발,맛술
팽이유부된장국,팽이버섯/친환경
무말랭이무침,설탕(백설탕)
소고기콩나물밥,깨(참깨)/볶은것
소불고기주먹밥,김밥(쇠고기김밥)
멸치국수,소금(구운소금)
오이피클,피클(모둠채소피클)
육쪽마늘빵,마늘빵스틱
치커리유자청무침,올리브유
크림소스스파게티,소금(꽃소금)
시금치나물,마늘
곤드레밥,곤달비
베이컨프렌치토스트,버터
매실차,차(매실차)
공룡치킨까스,콩기름(대두유)
상추,참기름
소고기버섯불고기,배/일반
도라지오이생채,고추장/전통식품인증
애호박빵가루전,호박(애호박)/친환경
오리불고기,당근/친환경
미역줄기볶음,미역줄기
사과바나나단감샐러드,설탕(백설탕)
소다아이스크림,아이스크림(하드)
베이컨말이주먹밥,돼지고기(삼겹살)
고등어김치조림,고춧가루
방울토마토보코치니샐러드,치즈(구슬모양치즈)
고소한콘치킨,토마토케첩
돈코츠라멘,라면/냉동
감자조림,깨(참깨)/볶은것
닭고기투움바파스타,스파게티소스(크림소스)
불고기양상추샐러드,식초(사과식초)
샤인머스캣푸딩,푸딩(오렌지푸딩)
돈까스김치덮밥,꿀(아카시아꿀)
피자치즈볼,도넛(케이크도넛)
베이컨새송이버섯볶음,참기름
치커리흑임자샐러드,당근
목살스테이크,"마늘/껍질제거(깐것), 꼭지제거"
사골순대국,파(대파)
쑥갓나물,소금(꽃소금)
돼지고기고구마강정,마늘
거봉,포도(거봉)
훈민정음빵,팬케이크가루(핫케이크가루)
전어소금구이,전어/생것
닭다리칼국수,호박(애호박)
버섯달걀장조림,간장(양조간장)
부추잡채,콩기름(대두유)
소고기볶음,물엿
들기름막국수,가쓰오메밀장국
가쓰오장국,가쓰오부시 과립
돼지고기족발,물엿(황물엿)
무쌈,무쌈(레몬)
쪽파무침,고춧가루
잘찍어떡갈비,스테이크(햄버그스테이크)/떡갈비맛
로제치즈분모자볶이,떡볶이떡(구멍떡볶이떡)
베이컨달걀스크램블,베이컨/국산
소고기무국,간장(재래간장)/친환경
삼치살감자조림,삼치살
닭살칠리소스볶음,간장(양조간장)/국산
감자호박된장국,된장(전통된장)/전통식품인증
야채참깨드레싱샐러드,드레싱(참깨흑임자드레싱)
소고기해장국,"배추(얼갈이, 단배추)/친환경"
가지나물볶음,간장(양조간장)
모듬잡채,깨(참깨)/볶은것
오징어오이쌈,양파/친환경
순대곱창볶음,소금(꽃소금)
취나물무침,참기름
누룽지,누룽지
달걀장조림,간장(왜간장)
닭날개데리야끼조림,간장(양조간장)
카레라이스,콩기름(대두유)
군만두,콩기름(대두유)
돼지고기스테이크덮밥,멥쌀(백미)/친환경
블루베리크림치즈베이글,치즈(크림치즈)
미역된장국,두부/친환경
비빔밥,간장(양조간장)
쿠키,쿠키
건새우얼갈이된장국,다시마/말린것(건조)
찹쌀약과,약과
찰흑미밥,찹쌀(백미)/친환경
삼색나물,"도라지/껍질제거(깐것), 실채"
송편,송편(깨송편)
유과,유과
건새우고추장볶음,간장(양조간장)
맥적구이,간장/장아찌용
숙주미나리들깨무침,간장(재래간장)
비엔나소시지채소볶음,참기름
타래만두구이,현미유
오징어볶음,콩기름(대두유)
애호박새우젓갈볶음,콩기름(대두유)
삼치데리야끼소스구이,콩기름(대두유)
콩나물겨자무침,"깨(참깨)/볶은것, 껍질제거(깐것)"
대패삼겹살구이,유채씨유(카놀라유)
쌈장,참기름/국산
홍합살미역국,간장(재래간장)
아이스슈,아이스슈
스팸스크램블덮밥,멥쌀(백미)/친환경
연근무화과조림,연근/친환경
크림치즈약과샌드,치즈(크림치즈)
유기농식혜,식혜/친환경
열무보리비빔밥,고추장
멸치건새우볶음,깨(참깨)/볶은것
소고기토란국,간장(재래간장)
잡채,양파/껍질제거(깐것)
돼지갈비찜,돼지고기(사태)/조림용
연두부달걀샐러드,토마토(방울토마토(체리토마토))/친환경
뿌링클순살치킨,시즈닝/양파맛
유부잡채,간장(재래간장)/친환경
어묵무국,어묵
오이양파생채,양파/친환경
타르타르소스,레몬
브로콜리초장,설탕(백설탕)
참치김치볶음,깨(참깨)/볶은것
콩나물당근무침,당근/친환경
애호박전,고추(붉은고추(홍고추))/친환경
대구살미역국,간장(재래간장)/친환경
골드키위,키위(골드키위)
맵구마돈까스,후추
딸기우유,우유(딸기우유)
토마토,올리브유
감자채볶음,당근
코다리살양념구이,파(실파)/껍질제거(깐것)
청포도,포도(청포도)
햄모듬찌개,고추장
영양밥,간장(재래간장)/친환경
머핀,머핀(초코머핀)/반죽
숙주미나리당근무침,소금(꽃소금)
새송이버섯고추장양념구이,파(쪽파)/친환경
참치마요네즈덮밥,소금(꽃소금)
매운콩나물국,파(대파)/껍질제거(깐것)
떡강정,설탕(백설탕)
그린키위,키위
무비트피클,소금(꽃소금)
감말랭이야채샐러드,설탕(백설탕)
로제스파게티,버터
햄치즈크로플,달걀
온메밀국수,메밀국수
칠리소스,스위트칠리소스
채소피클,피클(모둠채소피클)
왕새우튀김,유채씨유(카놀라유)
브로콜리,식초(사과식초)
닭개장,메밀가루/국산
무항생제소시지야채볶음,콩기름(대두유)
청포묵샐러드,참기름
오징어포볶음,설탕(백설탕)
김말이강정,간장(양조간장)
키위푸딩,푸딩(키위푸딩)
레몬에이드,레몬
감귤주스,주스(감귤주스)
양파장아찌,간장(재래간장)/친환경
소고기야채죽,표고버섯/말린것(건조)
파프리카,된장/친환경
꿀호떡버거,잼(딸기잼)
새알심만두국,소금(꽃소금)
오이배무침,오이(청오이)
가자미빵가루튀김,청주
닭다리살데리야끼구이,사과/GP
어묵야채볶음,어묵(구멍어묵)
대파겉절이,간장(양조간장)
북어포들깨국,소금(꽃소금)
깻잎무쌈,마요네즈(전란)/소포장
두부새우젓갈국,파(대파)/껍질제거(깐것)
참나물파절이,매실농축액
편육,양파/껍질제거(깐것)
보쌈김치,김치(보쌈김치)
김자반,파래자반
추로스,콩기름(대두유)
도토리묵치커리무침,참기름
복숭아맛호상요구르트,발효유(호상요구르트)/복숭아맛
삼색소보로덮밥,파(쪽파)/친환경
발사믹소스,드레싱(발사믹드레싱)
마시는요구르트,발효유(액상요구르트)/사과맛
카프레제샐러드,토마토(완숙토마토)
속이꽉찬만두국,다시마/말린것(건조)
돈등심바베큐소스폭찹,양파/친환경
미역오이참깨샐러드,토마토(방울토마토(체리토마토))/친환경
뱅어포볶음,파(쪽파)/친환경
조랭이떡국,다시마(뿌리다시마)/말린것(건조)
콘마요네즈달걀찜,소금(꽃소금)
도라지유자냉채,배/국산
대추방울토마토,토마토(대추방울토마토)
멸치아몬드슬라이스볶음,아몬드/슬라이스
함박스테이크,배
함박스테이크소스,토마토(완숙토마토)
어묵김치국,김치(배추김치)
꽃게탕,두부/친환경
한라봉주스,주스(한라봉주스)
회오리감자,시즈닝/양파맛
유채나물무침,소금(꽃소금)
샤인머스캣방울토마토,파슬리/말린것(건조)
실곤약야채무침,간장(재래간장)/친환경
묵은지찜닭,파(대파)/껍질제거(깐것)
어묵채소볶음,간장(양조간장)
숙주나물무침,참기름/국산
포도주스,주스(포도주스)
북어국,간장(재래간장)
메밀전병,양파/친환경
단호박생크림샐러드,크림(생크림)/완제품
순살닭고기야채조림,맛술
동그랑땡전,동그랑땡(고기동그랑땡)
삼치무조림,청주
두부야채샌드,두부/친환경
쌀국수,소금(꽃소금)
튀김새우,과즙음료(레몬)
양상추샐러드,양파/껍질제거(깐것)
딸기요거트드레싱,드레싱(딸기요거트드레싱)
돈까스덮밥,가쓰오우동장국
오코노미야끼,파(실파)/껍질제거(깐것)
갈비탕,간장(재래간장)/친환경
옥수수매생이전,매생이
콩나물냉채,배/국산
떡볶이치즈그라탕,양배추/친환경
머스터드소스,레몬
삼색푸실리후르츠샐러드,토마토(방울토마토(체리토마토))/친환경
양배추,참기름
한치돼지고기볶음,파(대파)/친환경
감자베이컨볶음,콩기름(대두유)
탕수육소스,매실농축액
짜장밥,양파/껍질제거(깐것)
청경채무침,청경채
복숭아,복숭아(천도)
블루베리셰이크,파(대파)/껍질제거(깐것)
오이장아찌무침,멥쌀(현미)/친환경
교자만두,"마늘/껍질제거(깐것), 꼭지제거"
소고기떡국,멥쌀(백미)/친환경
양념감자튀김,양파/껍질제거(깐것)
투움바스파게티,당근
바비큐폭립,양송이버섯
오리엔탈드레싱,브로콜리
파닭,"마늘/껍질제거(깐것), 꼭지제거"
곤드레나물밥,설탕(백설탕)
인절미꿀피자,치즈(모짜렐라치즈)
동태찌개,멥쌀(백미)/친환경
미트볼그라탕,멥쌀(현미)/친환경
쫄면채소무침,당근
오향장육,설탕(흑설탕)
떠먹는유부초밥,멥쌀(백미)/친환경
김말이튀김,깨(검정깨(흑임자))/볶은것
로제떡볶이,호박(애호박)
오징어브로콜리초장,멥쌀(현미)/친환경
시금치팽이버섯무침,참기름/국산
날치알밥,멥쌀(백미)/친환경
냉메밀국수,당근
김가루밥,멥쌀(백미)/친환경
단무지,참기름/국산
김치말이냉국수,파래자반
닭꼬치,양파/껍질제거(깐것)
아오리사과,깻잎
참치마요네즈토핑,"깨(참깨)/볶은것, 껍질제거(깐것)"
미숫가루냉차,우유/대(大)
맛살콩나물냉채,설탕(백설탕)
얼갈이된장국,파(대파)/껍질제거(깐것)
우유빙수,우유(딸기우유)
과일요거트,발효유(호상요구르트)/플레인
순두부백탕,간장(재래간장)
치즈불닭구이,설탕(백설탕)
연포탕,양파/껍질제거(깐것)
참치야채볶음,단무지
게살달걀죽,소금(꽃소금)
치킨버거,유채씨유(카놀라유)
달걀실파국,간장(재래간장)
열무김치비빔밥,사과
브라우니,분말(설탕분말)
오이생채,고추장/전통식품인증
치즈닭갈비볶음,고춧가루/국산
레몬크림새우,레몬
해물짜장밥,감자/껍질제거(깐것)
야채스프,버터
