FOOD_NM,INGREDIENT,TYPE
삼치데리야끼소스구이,간장(양조간장)/국산,반찬
가지무침,가지,반찬
모닝빵샌드위치,감자/껍질제거(깐것),후식
마시는요구르트,발효유(드링크요구르트)/사과맛,후식
허브포크커틀렛/소스,달걀(난백),반찬
오이맛살무침,깨(참깨)/볶은것,반찬
딸기롤케이크,케이크(롤케이크),후식
수삼닭강정/간장,간장(양조간장)/국산,반찬
삼치카레구이,레몬,반찬
들기름미역국,간장(재래간장),국
가자미살튀김,가자미살/강정용,반찬
라이스탕수육,간장,반찬
소고기토란국,간장(재래간장),국
삼색나물무침,간장(재래간장),반찬
건새우얼갈이된장국,다시마/말린것(건조),국
양념닭강정,간장,반찬
근대된장국,고추장,국
시금치두부무침,간장(재래간장),반찬
홍메기살강정,고추장,반찬
연근샐러드,깨(검정깨(흑임자))/국산,후식
멘츠까스/브라운소스,돈가스(햄버그돈가스),반찬
김주먹밥,게맛살(영양강화),밥
새우튀김쌀우동,"가다랑어/고명용,말린것(건조)",국
아귀탕수,간장,반찬
흑임자연근감자전,감자/껍질제거(깐것),반찬
매콤수비드연어조림,양파,반찬
녹두밥,녹두,밥
더덕오이생채,고추장,후식
돈육쌀강정,간장,반찬
국물떡볶이,간장(양조간장)/국산,반찬
여유밥,멥쌀(백미)/일반,밥
잔치쌀국수,간장(재래간장),국
고구마줄기무침,고구마줄기/삶은것,반찬
들깨무채국,간장(재래간장),국
대구강정,간장,반찬
두부부침/양념장,간장(양조간장)/국산,반찬
미트볼케첩조림,깨(참깨)/볶은것,반찬
렌틸콩밥,렌틸콩(레드렌틸콩),밥
피자또띠아,"돼지고기햄/친환경,슬라이스",후식
새우까스,새우가스,반찬
탄두리치킨,고춧가루,반찬
돈육더덕두루치기,간장,반찬
수제더덕떡갈비,간장,반찬
꼬지어묵국,"가다랑어/고명용,말린것(건조)",국
절편(쑥),떡(쑥절편),후식
두부계란국,간장(재래간장),국
통살닭튀김,닭고기(다리살),반찬
가자미뮈니에르,"가자미/강정용,깍둑썰기,순살",반찬
해물수제비국,간장(재래간장),국
증편,증편,후식
비빔밥/볶음고추장,간장(재래간장),밥
유채나물무침/간장,간장(재래간장),반찬
카레라이스,감자/껍질제거(깐것),국
감자핫도그,콩기름(대두유),후식
캐플쥬스,혼합음료(사과당근채소음료),후식
춘장찜닭,간장(양조간장),반찬
계란채소볶음밥,감자/껍질제거(깐것),밥
모짜렐라치즈감자크로켓,콩기름(대두유),반찬
바지락살미역국,간장(재래간장),국
시루떡,시루떡,후식
수제에그타르트,에그타르트/생지,후식
매콤콩나물국,고추(붉은고추(홍고추)),국
우리밀찐왕만두(김치),만두(김치만두),반찬
폭찹,당근,반찬
소갈비찜,간장(양조간장)/국산,반찬
떡만두국,간장(재래간장),국
편육/쌈장,고추장,반찬
시금치고추장무침,고추장,반찬
포도(샤인),포도(청포도(시들러스)),후식
랍스터구이,가재(바다가재),반찬
돼지갈비엿장조림,간장(양조간장)/친환경,반찬
데미함박스테이크,당근/친환경,반찬
양상추파인참깨샐러드,깨(참깨)/볶은것,후식
콩나물비빔밥,"깨(참깨)/볶은것,껍질제거(깐것)",밥
크림치즈파이,파이(크림치즈파이)/생지,후식
참치고추장볶음,간장(양조간장)/국산,반찬
육개장,간장(재래간장)/국산,국
돈육달걀장조림,간장(양조간장)/국산,반찬
포도푸딩,푸딩(포도푸딩),후식
스크램블드에그,달걀(전란),반찬
만두국,간장(재래간장)/국산,국
오징어숙회+초고추장,고추장(전통고추장)/국산,후식
수제떡갈비구이,간장(양조간장)/국산,반찬
순두부찌개,고추씨기름,국
매운갈비찜,간장(양조간장)/국산,반찬
고구마순나물,고구마줄기,반찬
치즈옥수수구이,당근/세척한것,후식
버섯초무침,고추장(전통고추장)/국산,반찬
데리야끼치킨,닭고기(넓적다리살)/껍질제거(깐것),반찬
사과감자샐러드,감자/껍질제거(깐것),반찬
새우죽,김가루,밥
떡볶음(부식),간장(양조간장)/국산,반찬
오징어/고구마튀김,고구마/껍질제거(깐것),후식
앙팡요구르트,발효유(드링크요구르트)/사과맛,후식
차돌박이고추장찌개,간장(재래간장)/국산,국
크래미초무침,과즙음료(레몬),반찬
삼치엿장구이,간장(양조간장)/국산,반찬
돈가스+소스,돈가스,반찬
웨지감자,"감자/껍질제거(깐것),웨지모양",후식
양배추채무침,고추(청양고추),반찬
감자된장찌개,감자/껍질제거(깐것),국
수리취라이스케익,케이크(쑥케이크),후식
메추라기알버섯조림,간장(양조간장)/국산,반찬
햄김치볶음,김치(배추김치),반찬
소시지야채구이,드레싱(머스터드드레싱),반찬
