FOOD_NM,INGREDIENT,TYPE
푸딩,푸딩(밀감푸딩),후식
치킨직화덮밥,양파/국산,밥
도라지무초무침,"도라지/껍질제거(깐것),채썬것(세절)",반찬
시리얼샐러드,"사과(부사,후지)",후식
미니파이,파이(사과파이)/생지,후식
쇠고기덮밥,멥쌀(백미)/친환경,밥
텐더스틱,콩기름(대두유),반찬
비엔나소세지브로콜리볶음,마늘/국산,반찬
미니파이(메이플피칸파이),파이(미니메이플피칸),후식
닭윙데리야끼조림,마늘/국산,반찬
도라지오이초무침,"도라지/국산,껍질제거(깐것)",반찬
치즈돈까스,마늘/국산,반찬
고구마슈빅데니쉬,파이(고구마파이)/생지,후식
"풋고추,오이/쌈장",고추(풋고추(청고추)),반찬
콩나물볶음,마늘,반찬
삼겹살구이,큰느타리버섯(새송이버섯)/일반,반찬
닭봉구이,마늘,반찬
멸치꽈리고추볶음,마늘/국산,반찬
호떡,호떡,후식
삼겹살샤브샤브,마늘,반찬
새송이부추생채,마늘,반찬
소고기국밥,마늘,국
갑오징어오이초무침,마늘,반찬
두부김치,두부/부침용,반찬
오이맛살샐러드,사과/일반,후식
춘천닭갈비,고구마,반찬
핫도그/케첩,핫도그,후식
고르곤졸라피자,피자(치즈피자),후식
오리훈제/무쌈,당근,반찬
돈육김치볶음,마늘/국산,반찬
얼갈이들깨된장국,마늘/국산,국
오이냉국,마늘/국산,국
김치만두국,마늘/국산,국
소떡소떡,마늘/국산,후식
아이스크림(초코),아이스크림(초콜릿),후식
등갈비단호박폭찹,마늘/국산,반찬
마카로니샐러드,파프리카(노랑파프리카),후식
대패삼겹살볶음,마늘/국산,반찬
감자채양파볶음,양파/국산,반찬
차돌박이된장찌개,마늘/국산,반찬
오이양파무침,양파/국산,반찬
가지구이,마늘/국산,반찬
수제찹쌀탕수육,마늘/국산,반찬
싸먹는햄,돼지고기햄/슬라이스,반찬
꼬들단무지무침,마늘/국산,반찬
고구마부침,고구마/튀김용,반찬
다시마/초장,양파/국산,반찬
소고기달걀조림,마늘/국산,반찬
고등어고구마대조림,마늘/국산,반찬
찰보리병,찰보리빵/반죽,후식
순두부달걀국,마늘/국산,국
쥐손채볶음,마늘/국산,반찬
오리탕,마늘/국산,국
고추잡채/꽃빵,당근,후식
꽈리고추어묵볶음,마늘/국산,반찬
구슬아이스크림,아이스크림(구슬아이스크림),후식
참치마요덮밥,멥쌀(백미)/친환경,밥
부추오이생채,마늘/국산,반찬
춘권,콩기름(대두유),후식
짜먹는요구르트,발효유(짜먹는요구르트)/딸기맛,후식
치즈불닭,당근,반찬
우리밀허니브레드,식빵(우유식빵),후식
한입피자,피자(오곡피자),후식
닭봉튀김,마늘/국산,반찬
울외장아찌,파(쪽파),반찬
닭갈비덮밥,당근/국산,밥
백미밥,멥쌀(백미)/친환경,밥
고구마대된장무침,마늘/국산,반찬
새우마늘쫑볶음,마늘종,반찬
군고구마,고구마/찜용,후식
클로렐라쌀밥,기능성멥쌀(클로렐라),밥
밤식빵,식빵(밤식빵),후식
콩물국수,오이,국
포도(캠벨얼리),포도(캠벨얼리),후식
모둠견과,모둠견과,후식
오곡고구마스트링롤까스,마늘/국산,반찬
새우살볶음밥,멥쌀(백미)/친환경,밥
청포도에이드,에이드(청포도에이드),후식
애호박나물,당근,반찬
튀김소보로,소보루빵,후식
미트소스스파게티,마늘/국산,밥
자반볶음,김자반/조미한것,반찬
도토리묵잡채,당근/국산,반찬
메추리알조림,마늘/국산,반찬
게맛살미역무침,마늘/국산,반찬
드링킹요구르트,발효유(드링크요구르트)/딸기맛,후식
닭가슴살샐러드,양배추,후식
감자달걀국,마늘/국산,국
미니바닐라크라운,크림빵(슈크림),후식
사과(아오리),사과(아오리)/일반,후식
미니크루아상,크루아상,후식
솎음열무된장무침,마늘/국산,반찬
베이컨갈릭볶음밥,멥쌀(백미)/친환경,밥
모듬과일,키위,후식
꽃맛살샐러드,오이/일반,후식
감자튀김,콩기름(대두유),후식
달콤츄로스,추로스(막대추로스),후식
파채너비아니,파(대파)/국산,반찬
순살치킨,마늘/국산,반찬
오곡찰밥,수수(차수수),밥
오리간장불고기,당근/국산,반찬
야채튀김,콩기름(대두유),후식
베리베리퐁당딸기요거트,발효유(호상요구르트)/가당,후식
후리가케주먹밥,멥쌀(백미)/친환경,밥
드링킹요구르트,발효유(드링크요구르트)/사과맛,후식
오징어미나리초무침,마늘/국산,반찬
애호박수제비,당근,반찬
허니킹,마늘/국산,반찬
몬테크리스토샌드위치,샌드위치(몬테크리스토),후식
생크림오믈렛,오믈렛(생크림오믈렛),후식
동태전,전(동태전),반찬
어묵잡채,당근,반찬
배,배,후식
새우볼꼬치,마요네즈,반찬
브로콜리/초장,마늘/국산,반찬
슈크림붕어빵,붕어빵(슈크림붕어빵),후식
단호박샐러드,호박(단호박),반찬
부추전,당근,반찬
쥬스,과채주스(적포도농축과즙),후식
순대/초장,설탕(백설탕),반찬
사과(부사),"사과(부사,후지)",후식
토란국,마늘,국
떡갈비전,파(쪽파),반찬
오색산적,큰느타리버섯(새송이버섯)/일반,반찬
우리쌀추로스,추로스(쌀추로스),후식
마들렌,마들렌,후식
합격초코렛,초코볼,후식
감자범벅+베이컨,감자(수미감자),반찬
돈육애호박찌개,마늘/국산,국
닭윙구이,마늘/국산,반찬
미나리초무침,마늘,반찬
군밤,밤/칼집낸것,후식
찐빵,호빵(팥호빵),후식
흑미호떡,호떡(흑미호떡),후식
수수부꾸미,부꾸미(수수부꾸미),반찬
김밥,멥쌀(백미)/친환경,반찬
큐브스테이크덮밥,멥쌀(백미)/친환경,밥
영양찰밥,밤/껍질제거(깐것),밥
청경채나물,마늘,반찬
마카롱,마카롱(초콜릿마카롱),후식
야채찐빵,찐빵(파자쌀찐빵),후식
윌,발효유(드링크요구르트)/가당,후식
사골떡만두국,마늘/국산,국
찹쌀꿔바로우,콩기름(대두유),반찬
야채계란전,당근,반찬
스팸주먹밥,멥쌀(백미)/친환경,밥
눈꽃치즈돈까스,어린잎채소(베이비잎)/친환경,반찬
미니윌,발효유(드링크요구르트)/무가당,후식
깻잎전,달걀,반찬
킨더초코릿,초코바,후식
레인보우큐브치즈샐러드,"양배추(적채,붉은양배추)",후식
한우갈비찜,밤/껍질제거(깐것),반찬
우리쌀산타곰이치즈케이크,케이크(크림치즈케이크),후식
닭야채조림,당근,반찬
돈육야채볶음,당근,반찬
두부구이,두부,반찬
볶음밥,멥쌀(백미)/친환경,밥
새송이오븐구이,큰느타리버섯(새송이버섯),반찬
단배추나물,배추(알배기),반찬
깻잎순나물,깻잎순,반찬
어묵고추장볶음,어묵,반찬
미나리생채,미나리,반찬
두릅/초장,두릅,반찬
맥시칸샐러드,토마토(방울토마토(체리토마토)),반찬
굴비구이,굴비,반찬
대구매운탕,무(조선무),국
수제비국,시금치,국
두부달걀부침,당근,반찬
파프리카/쌈장,파프리카(노랑파프리카),후식
도라지오이무침,"도라지/껍질제거(깐것),채썬것(세절)",반찬
콩나물밥/양념장,멥쌀(백미)/친환경,밥
돈육고구마강정,고구마,반찬
정어리볶음/쌈,고사리/삶은것,반찬
쇠고기두부국,새우(꽃새우)/말린것(건조),국
곤드레나물,"곤드레(고려엉겅퀴)/말린것(건조),삶은것",반찬
모듬야채겉절이,모둠채소,반찬
죽순들깨볶음,죽순/삶은것,반찬
완두콩밥,멥쌀(백미)/친환경,밥
무시래기된장국,무시래기/삶은것,국
쫄면,"사과(부사,후지)",반찬
비엔나야채볶음,당근,반찬
꽈리고추찜,고추(꽈리고추),반찬
머우대들깨나물,머위대/삶은것,반찬
마늘쫑고추장무침,마늘종,반찬
얼갈이부추겉절이,"배추(얼갈이,단배추)",반찬
임연수어구이,임연수포,반찬
고구마순된장무침,고구마줄기,반찬
고등어감자조림,감자,반찬
브로콜리달걀말이,당근,반찬
감자어묵조림,감자,반찬
순대찜,순대,반찬
상추치커리무침,치커리,반찬
오므라이스,멥쌀(백미)/친환경,밥
팽이부추무침,팽이버섯,반찬
후라이드치킨,닭고기(성계)/닭도리용,반찬
고구마대들깨나물,고구마줄기/삶은것,반찬
오징어채무침,오징어(진미채),반찬
닭무국,무(조선무),국
감자구이,감자,반찬
식빵튀김,파슬리,후식
쇠고기콩나물국,콩나물,국
양송이쑥갓무침,양송이버섯,반찬
건도토리묵볶음,당근,반찬
고등어카레구이,고등어/순살,반찬
상추쑥갓생채,상추,반찬
새우오이나물,오이,반찬
미역가락무침,배,반찬
애플시나몬또띠아,"계피/간것(가루,분말)",후식
가자미조림,무(조선무),반찬
오이숙주나물,숙주나물,반찬
찹쌀콩튀각,찹쌀콩(대두에찹쌀가루를입힌것),후식
두부샐러드,토마토(방울토마토(체리토마토)),후식
닭봉조림,닭고기(봉),반찬
코다리무조림,무(조선무),반찬
근대나물,근대,반찬
부추양배추생채,양배추,반찬
가래떡불고기볶음,당근,반찬
치밥,멥쌀(백미)/친환경,밥
고추잎나물,고춧잎,반찬
날치알달걀말이,당근,반찬
찰옥수수,옥수수,후식
돈메추리알조림,메추리알/껍질제거(깐것),반찬
메밀나물,메밀,반찬
감자햄전,감자,반찬
우엉검정콩조림,우엉/채썬것(세절),반찬
호박잎쌈,호박잎,반찬
참소라살호박초무침,호박(애호박),반찬
밥,멥쌀(백미)/친환경,밥
까르보나라떡볶이,브로콜리,반찬
햄어묵볶음,어묵,반찬
닭죽,멥쌀(백미)/친환경,밥
블루베리망고샐러드,망고,후식
아귀탕,무(조선무),국
목이버섯볶음,목이버섯/말린것(건조),반찬
오리훈제/머스터드,머스터드소스,반찬
동태매운탕,무(조선무),국
미역수제비국,새우(꽃새우)/말린것(건조),국
연근서리태조림,"연근/껍질제거(깐것),슬라이스",반찬
돈육김치볶음/두부,"돼지고기(앞다리,전지)",반찬
전유어,당근,반찬
장어국,"고사리/데친것,말린것(건조)",국
미나리나물,미나리,반찬
국수곤약냉채,당근,반찬
스크램블에그,당근,바
닭카레볶음,큰느타리버섯(새송이버섯),반찬
병어감자조림,감자,반찬
노각새우나물,오이(늙은오이(노각)),반찬
부추양파냉채,양파,반찬
미니크로와쌍,크루아상,후식
양상추어린잎유자샐러드,양상추,후식
오이스틱,오이,후식
쇠고기감자들깨국,감자,국
오징어떡강정,오징어,반찬
옥수수치즈구이,양파,반찬
짜장쫄면,당근,반찬
감자두부된장국,감자,국
청경채볶음,청경채,반찬
콩나물두부국,콩나물,국
치커리겉절이,치커리,김치
고구마대무침,고구마줄기/삶은것,반찬
애호박새우젓볶음,당근,반찬
우엉채볶음,우엉/채썬것(세절),반찬
미역줄기어묵볶음,미역줄기,반찬
유부초밥,멥쌀(백미)/친환경,밥
느타리애호박나물,당근,반찬
유부미소국,새우(꽃새우)/말린것(건조),국
상추부추무침,상추,반찬
쇠고기버섯국,느타리버섯,국
가지새송이오븐구이,큰느타리버섯(새송이버섯),반찬
고구마구이,고구마,반찬
갈비김치찜,돼지고기(갈비),반찬
알토란들깨볶음,토란/껍질제거(깐것),반찬
브로콜리두부무침,브로콜리,반찬
호박죽,호박(늙은호박)/껍질제거(깐것),밥
모짜렐라핫도그,핫도그(미니치즈핫도그),후식
숙주미나리나물,숙주나물,반찬
달걀야채말이,당근,반찬
새우애호박전,호박(애호박),반찬
갈치무조림,무(조선무),반찬
팽이호박나물,팽이버섯,반찬
오이상추무침,상추,반찬
오리볶음,오리고기/절단된것,반찬
냉이된장무침,냉이,반찬
들깨무채국,마늘,국
양배추/쌈장,"마늘/껍질제거(깐것),꼭지제거",반찬
대패오리불고기,당근/껍질제거(깐것),반찬
부추전,당근/껍질제거(깐것),반찬
가바쌀밥,기능성멥쌀(가바),밥
쇠고기당면국,"마늘/껍질제거(깐것),꼭지제거",국
시금치두부깨소스무침,"마늘/껍질제거(깐것),꼭지제거",반찬
에그인헬,당근/친환경,반찬
딸기요거트,발효유(호상요구르트)/딸기맛,후식
시금치커리라이스,기능성찹쌀(칼슘강화),국
닭장각튀김/소스,"마늘/껍질제거(깐것),꼭지제거",반찬
포도쥬스,주스(포도주스),후식
미니난,전병(밀전병),후식
혼합잡곡밥,기능성찹쌀(칼슘강화),밥
해물순두부찌개,"마늘/껍질제거(깐것),꼭지제거",국
애느타리호박볶음,당근/껍질제거(깐것),반찬
소세지품은떡꼬치,콩기름(대두유),후식
미니군고구마,고구마(꿀고구마)/친환경,후식
도토리묵깻잎들깨무침,당근/껍질제거(깐것),반찬
삼치살유자간장구이,"마늘/껍질제거(깐것),꼭지제거",반찬
오레오초코머핀,쿠키(우리쌀참깨쿠키),후식
피쉬앤칩스,타르타르소스,후식
미니파이,파이(고구마파이)/생지,후식
옥수수감자샐러드,감자,후식
차돌떡볶이,마늘/국산,반찬
가바쌀밥,"멥쌀, 배아미, 생것",밥
삼치살유자간장구이,다시마,반찬
클로렐라밥,"멥쌀, 백미, 생것",밥
돈육등뼈김치찜,"김치, 배추 김치",반찬
비빔만두,당근/껍질제거(깐것),반찬
옥수수연유전,파슬리/말린것(건조),반찬
시금치커리라이스,"멥쌀, 백미, 생것",국
불맛오리불고기,당근/껍질제거(깐것),반찬
치즈감자빵,떡(감자떡),후식
치즈크러스트피자/갈릭딥핑소스,피자(조각피자)/냉동,후식
제주감귤쥬스,주스(감귤주스),후식
모둠야채피클,피클(모둠채소피클),반찬
잔치국수,당근/껍질제거(깐것),국
오이양파무침,마늘/껍질제거(깐것),반찬
수원왕갈비치킨,"마늘/껍질제거(깐것), 꼭지제거",반찬
칼슘이온음료,혼합이온음료,후식
야채계란찜,당근/껍질제거(깐것),반찬
쭈꾸미치즈떡볶음,당근/껍질제거(깐것),반찬
백김치,김치(백김치),김치
쇠고기미역국,마늘/껍질제거(깐것),국
돼지갈비엿장조림,당근/껍질제거(깐것),반찬
블루베리치즈바게트,블루베리/냉동,후식
삼색묵김가루무침,아몬드/조미한것,반찬
가자미유린기,레몬,반찬
청포도,포도(청포도)/외국산,후식
미니우동,"마늘/껍질제거(깐것), 꼭지제거",국
고깃집볶음밥,멥쌀(백미),밥
닭강정(매콤/허니간장),땅콩/볶은것,반찬
젤라또,아이스크림(젤라또),후식
근대된장국,"마늘/껍질제거(깐것), 꼭지제거",국
보쌈/마늘소스,마늘/껍질제거(깐것),반찬
고춧잎무말랭이무침,마늘/껍질제거(깐것),반찬
김치비빔국수(반찬),"사과(부사, 후지)",반찬
옥수수크림스프,분말(크림수프분말),국
치즈돈까스&브라운,당근/껍질제거(깐것),반찬
마늘바게트,마늘바게트/반조리,후식
트로피칼샐러드,레몬,후식
물만두,간장(양조간장),반찬
블랙탕수육,"땅콩/간것(가루, 분말)",반찬
한라봉쥬스,주스(한라봉주스),후식
단호박찜/꿀소스,아몬드/조미한것,반찬
진미채고추장무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
훈제오리구이,양파/껍질제거(깐것),반찬
케이준감자튀김/케첩,콩기름(대두유),후식
상하이치킨버거,토마토,밥
이온음료,이온음료,후식
장미물만두국,당근/껍질제거(깐것),국
삼치무조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
도라지오이생채,"도라지/껍질제거(깐것), 절단된것",반찬
바람떡,"떡(개피떡, 바람떡)",후식
건새우아욱된장국,"마늘/껍질제거(깐것), 꼭지제거",국
돈육김치볶음,당근/껍질제거(깐것),반찬
열무김치,김치(열무김치),김치
딸기도넛,도넛(딸기도넛),후식
지코바치밥,기능성찹쌀(칼슘강화),밥
모짜핫도그/케첩,설탕(백설탕),후식
샤인머스캣쥬스,유산균음료/청포도맛,후식
옥수수밥,멥쌀(백미),밥
몽글순두부짬뽕탕,양파/껍질제거(깐것),국
네모감자햄볶음,감자/껍질제거(깐것),반찬
어묵매운탕,마늘/껍질제거(깐것),국
계란만두,당근/껍질제거(깐것),반찬
닭봉깐풍구이,당근/껍질제거(깐것),반찬
짜먹는요거트,발효유(짜먹는요구르트)/딸기맛,후식
참치비빔밥/고추장,기능성찹쌀(칼슘강화),밥
소세지페스츄리,올리브,후식
미숫가루퐁크러쉬,강정(보리강정),후식
조랭이떡국,당근/껍질제거(깐것),국
돈육고추장불고기,당근/껍질제거(깐것),반찬
베이컨감자전/초간장,감자/껍질제거(깐것),반찬
파인애플볶음밥,멥쌀(백미),밥
쌀국수,레몬,국
열대과일샐러드,딸기/냉동,후식
짜조,콩기름(대두유),후식
깔라만시쥬스,에이드(깔라만시에이드),후식
삼색잡곡밥,기능성기장(칼슘강화),밥
숙주게맛살무침,당근/껍질제거(깐것),반찬
감자품은떡갈비,당근/껍질제거(깐것),반찬
사과(부사),"사과(부사, 후지)/친환경",후식
메밀고기전병,전병(메밀전병),후식
두부쑥갓무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
아이스슈,아이스슈/커스터드맛,후식
얼큰꽃게탕,당근/껍질제거(깐것),국
마늘칩크리스피돈강정,"마늘/껍질제거(깐것), 꼭지제거",반찬
매콤양념어묵꼬치,"땅콩/간것(가루, 분말)",반찬
생크림요거트,발효유(호상요구르트)/가당,후식
맑은미역국,"마늘/껍질제거(깐것), 꼭지제거",국
타코야끼,파(쪽파),후식
초코바나나또띠아,바나나,후식
곤드레나물밥/양념장,멥쌀(백미),밥
콩나물파채무침,콩나물,반찬
육전(언양식치즈)/부추초간장,부추/친환경,반찬
수리취앙금떡,떡(수리취팥떡),후식
배추된장국,"마늘/껍질제거(깐것), 꼭지제거",국
명엽채우엉조림,당근/껍질제거(깐것),반찬
소세지프리타타,토마토(방울토마토(체리토마토))/친환경,반찬
숙성카레라이스,멥쌀(백미),국
부추미소된장국,"마늘/껍질제거(깐것), 꼭지제거",국
옥수수콘샐러드,양배추,후식
카츠산도,파슬리/말린것(건조),후식
딸기우유,우유(딸기우유),후식
마파두부,당근/껍질제거(깐것),반찬
불고기볶음우동,당근/껍질제거(깐것),국
닭튀김꼬치,콩기름(대두유),반찬
햄프씨드밥,기능성멥쌀(황금쌀),밥
츄러스,추로스(추로스(계피)),후식
동태찌개,"마늘/껍질제거(깐것), 꼭지제거",국
쌈무오절판,당근/세척한것,반찬
삼색수제비국,"마늘/껍질제거(깐것), 꼭지제거",국
순대야채볶음,당근/껍질제거(깐것),반찬
애호박전/초간장,부추/친환경,반찬
수박,수박/친환경,후식
마라탕,숙주나물/친환경,국
모듬탕수육,당근/껍질제거(깐것),반찬
김치국,마늘/껍질제거(깐것),국
에그타르트,에그타르트/생지,후식
밤콩밥,기능성찹쌀(칼슘강화),밥
생크림달콤과일샐러드,바나나,후식
멘치까스/숙주베이컨,양파/껍질제거(깐것),반찬
나시고랭/계란후라이,멥쌀(백미),반찬
우동장국,마늘/껍질제거(깐것),국
토마토비타민샐러드,토마토,후식
크래미푸팟퐁커리,마늘,국
미역줄기야채볶음,당근/껍질제거(깐것),반찬
감자그라탕,양파/껍질제거(깐것),반찬
장조림버터비빔밥,멥쌀(백미),밥
구슬떡볶이,당근/껍질제거(깐것),후식
해쉬브라운/케첩,콩기름(대두유),후식
돈등뼈감자탕,"마늘/껍질제거(깐것), 꼭지제거",국
시금치고추장무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
수제야채튀김/간장,깨(참깨),후식
꿀대구구이,레몬,반찬
볶음김치,"마늘/껍질제거(깐것), 꼭지제거",김치
멸치견과류볶음,아몬드/조미한것,후식
옛날소시지전,부추,반찬
떡꼬치/강정소스,"땅콩/간것(가루, 분말)",후식
요구르트(65ml),발효유(액상요구르트)/가당,후식
조갯살순두부찌개,마늘,국
얼갈이장무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
모듬캠핑구이,"마늘/껍질제거(깐것), 꼭지제거",반찬
냉메밀소바,무(왜무),국
뱅글소세지,핫도그(추로스핫도그)/냉동,후식
웨지감자튀김/케첩,콩기름(대두유),후식
에그드랍,파슬리/말린것(건조),반찬
닭장각바베큐,"마늘/껍질제거(깐것), 꼭지제거",반찬
딸기생크림와플,딸기,후식
오곡영양찰밥,"멥쌀, 백미, 생것",밥
단호박죽,"찹쌀, 가루",밥
오리불고기채소비빔밥,"멥쌀, 백미, 생것",밥
불고기피자,"피자, 슈퍼슈프림 피자, 냉동",후식
여유밥,기능성멥쌀(쌀눈),밥
단호박스프,당근/껍질제거(깐것),국
치커리사과겉절이,"사과(부사, 후지)",후식
로제스파게티,토마토,밥
떡베이컨말이구이,떡꼬치떡,반찬
오리불고기채소비빔밥,기능성찹쌀(칼슘강화),밥
호두고구마맛탕,호두/말린것(건조),반찬
현미찹쌀밥,기능성찹쌀(칼슘강화),밥
미역국,"마늘/껍질제거(깐것), 꼭지제거",국
잔치잡채,당근/껍질제거(깐것),반찬
닭장각바베큐구이,"마늘/껍질제거(깐것), 꼭지제거",반찬
생초콜렛(생일축하),초코볼,후식
초계국수,오이,국
브리오슈햄버거,토마토,밥
김가루주먹밥,기능성찹쌀(칼슘강화),밥
눈꽃치즈떡볶이,당근/껍질제거(깐것),반찬
찹쌀밥,기능성멥쌀(쌀눈),밥
봄동겉절이,"마늘/껍질제거(깐것), 꼭지제거",김치
닭다리살오븐구이,토마토(대추방울토마토),반찬
딸기치즈케이크,케이크(딸기케이크),후식
한국식마라탕,양파/껍질제거(깐것),국
멸치꽈리고추조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
꿔바로우(레몬소스),탕수육(찹쌀탕수육),반찬
2색과일,"사과(부사, 후지)",후식
보리밥,기능성찹쌀(칼슘강화),밥
콩나물새콤무침,당근/껍질제거(깐것),반찬
생삼겹(캠핑)구이,포도(청포도(시들러스)),반찬
흑미밥,기능성기장(칼슘강화),밥
황태채무국,"마늘/껍질제거(깐것), 꼭지제거",국
미역가락국수오색무침,당근/껍질제거(깐것),반찬
수비드스테이크정식,토마토(대추방울토마토),반찬
얼려먹는야쿠르트(110ml),발효유(호상요구르트)/복숭아맛,후식
부르게스타(토마토살사),라임,후식
옥수수스프,당근/껍질제거(깐것),국
투움바파스타,당근/껍질제거(깐것),밥
배라아이스크림,아이스크림(카카오아이스크림),후식
영양찰밥과단호박죽,밤,밥
황포묵무침,"마늘/껍질제거(깐것), 꼭지제거",반찬
오리훈제채소불고기,"마늘/껍질제거(깐것), 꼭지제거",반찬
버터치킨카레라이스,"기능성찹쌀(강황, 울금)",국
구운가지채소샐러드,아몬드,후식
콘치즈돈까스,유채씨유(카놀라유),반찬
발아현미밥,기능성기장(칼슘강화),밥
제주돼지바베큐구이,"마늘/껍질제거(깐것), 꼭지제거",반찬
식판에먹는옛날도시락,기능성찹쌀(칼슘철분강화),밥
도토리묵사발,당근/껍질제거(깐것),국
피자롤,피자(페퍼로니피자),후식
돼지감자탕,"마늘/껍질제거(깐것), 꼭지제거",국
오징어실채볶음,깨(참깨),반찬
새우살품은커틀렛,양파/껍질제거(깐것),반찬
비타C젤리,과채주스(귤농축과즙),후식
옹심이수제비국,당근/껍질제거(깐것),국
불고기스테이크,양파(적양파),반찬
들기름메밀국수,무(왜무),국
수육보쌈,"사과(부사, 후지)",반찬
차조밥,기능성기장(칼슘강화),밥
그린샐러드,아몬드/슬라이스,후식
탄두리닭봉구이+치즈볼,"마늘/껍질제거(깐것), 꼭지제거",반찬
오므라이스,기능성찹쌀(칼슘강화),밥
꿀치즈피자,아몬드/슬라이스,후식
감자튀김+비건마요네즈,마요네즈(유정란),후식
수박펀치,과채주스(귤농축과즙),후식
삼겹살김치볶음밥,기능성기장(칼슘강화),밥
계란부추국,"마늘/껍질제거(깐것), 꼭지제거",국
불고기피자,피자(조각피자)/냉동,후식
카레우동,당근/껍질제거(깐것),국
프라이드치킨,"마늘/껍질제거(깐것), 꼭지제거",반찬
두유,두유(칼슘강화두유),후식
짬뽕순두부국,"마늘/껍질제거(깐것), 꼭지제거",국
고구마줄기볶음,"마늘/껍질제거(깐것), 꼭지제거",반찬
허니간장불고기,당근/껍질제거(깐것),반찬
수박롤케익,케이크(생크림케이크),후식
무미나리생채,"마늘/껍질제거(깐것), 꼭지제거",반찬
메밀냉소바,무(왜무),국
멕시칸치킨타코,아보카도,후식
부대찌개,"마늘/껍질제거(깐것), 꼭지제거",국
라면땅그린샐러드,아몬드/슬라이스,후식
가자미살튀김,아몬드,반찬
토마토샐러드,토마토,후식
뿌링클치즈볼,분말(허니버터맛분말),반찬
