FOOD_NM,INGREDIENT
쫄면무침,고추장
우리쌀찹쌀약과,약과
나물비빔밥/더덕볶음고추장,간장(재래간장)
실파국,간장(재래간장)
대두핫도그,콩기름(대두유)
팥밥,멥쌀(백미)
근대된장국,고추장
달래오이무침,고추장
돈육목살스테이크,돈가스소스
바람떡,"떡(개피떡,바람떡)"
퀴노아밥,멥쌀(백미)
황태채국,간장(재래간장)
바나나1/2,바나나/일반
양배추찜/쌈장,고추장
군만두(교자),만두(교자만두)
조각서리태콩밥,멥쌀(백미)
맑은감자국,간장(재래간장)
양념닭강정,간장
대구맑은탕,간장(재래간장)
우리밀한라봉롤케이크,케이크(롤케이크)
들깨수제비국,감자/껍질제거(깐것)
볶음김치,고추장
뼈없는감자탕,감자/껍질제거(깐것)
두부비름나물무침,간장(재래간장)
아귀탕수,간장
매콤콩나물무침,고춧가루
돼지고기된장볶음,간장
명인우리밀찹쌀약과,약과
김말이(1개),콩기름(대두유)
떡꼬치,고추장
냉이된장국,고추(붉은고추(홍고추))
수제함박스테이크/소스,간장(양조간장)
우리쌀딸기케이크,케이크(딸기케이크)
느타리호박볶음,굴소스/국산
닭안심커틀릿/머스터드소스,꿀(아카시아꿀)
곤드레나물밥/양념간장,간장(양조간장)
팽이미소된장국,다시마(뿌리다시마)/말린것(건조)
삼색계란찜,달걀(난백)
자몽주스,주스(자몽주스)
임연수구이,"생강/국산,껍질제거(깐것)"
콩가루쑥국,다시마/말린것(건조)
김치전,고추(청양고추)
야쿠르트,발효유(드링크요구르트)
해시라이스,감자/껍질제거(깐것)
간장소스닭꼬치구이,간장(양조간장)/국산
차돌박이된장찌개,고추(풋고추(청고추))
양송이미트볼조림,간장/장아찌용
감자샐러드,감자/껍질제거(깐것)
블루베리산양유요거트,딸기/친환경
순살가자미양념구이,"가자미/껍질제거(깐것),순살"
대저토마토,토마토(흑토마토)/친환경
건파래채소볶음밥,감자/껍질제거(깐것)
크로크무슈,식빵(토스트식빵)
딸바라떼,혼합주스(딸기바나나주스)
쌀국수,간장(재래간장)
올리브오일닭다리구이,"닭고기(다리,북채)"
우리밀치즈볼,분말(허니버터맛분말)
쌈무,무쌈(블루베리무쌈)
참나물건새우된장무침,고춧가루/국산
고구마전,"고구마/껍질제거(깐것),슬라이스"
두부해물완자전,달걀(전란)/껍질제거(깐것)
돼지갈비김치찌개,간장(재래간장)
오징어&브로콜리초회,고추장/전통식품인증
파프리카감자채볶음,감자/껍질제거(깐것)
육개장,간장(재래간장)
비엔나케첩볶음,깨(참깨)/볶은것
오이갑장과,간장(양조간장)
돈까스소스,물엿
꼬리곰탕,"마늘/껍질제거(깐것),꼭지제거"
사과오이무침,고추장
삼치구이,레몬
버섯콩나물밥/양념장,간장(양조간장)
캐이준치킨샐러드,꿀
김구이,김(구운김)/무염
칼라꿀떡,떡(꿀떡)
치킨마요덮밥,간장(양조간장)/국산
현미밥,기능성찹쌀(칼슘강화)
머위대된장무침,고추장
고사리토장국,고사리/삶은것
소불고기,간장(양조간장)
날치알김치볶음밥,감자/껍질제거(깐것)
부추계란국,간장(재래간장)
종합어묵국,간장(재래간장)
가지무침,가지
초코우유,우유(초코우유)
호박군고구마,고구마(호박고구마)/친환경
하이라이스,감자/껍질제거(깐것)
순살닭튀김,닭고기(다리살)
배추김치,김치(배추김치)
사골떡국,김가루
아귀튀김,간장(양조간장)/국산
피칸파이,파이(미니메이플피칸)
가자미살구이,"가자미/강정용,깍둑썰기,순살"
찹쌀떡,떡(찹쌀떡)
구운삼겹살볶음,간장(양조간장)/국산
퀴노아밥,멥쌀(백미)
종합어묵국,"가다랑어/고명용,말린것(건조)"
구이김,김(구운김)/조미한것
두부부침,달걀(전란)
얼갈이배추국,고추장
우리밀찹쌀약과,약과
두부감자국,감자/껍질제거(깐것)
곤드레나물볶음밥,간장(재래간장)
소고기미역국,간장(재래간장)
해물파전,달걀
아이스홍시,아이스홍시
북어고추장찌개,간장(재래간장)
케이준치킨샐러드,꿀(아카시아꿀)
우리밀쫄면무침,고추장
오징어찌개,고추(붉은고추(홍고추))
근대된장무침,고추장
크런치탕수육,간장
햄김치찌개,고추장
새송이애호박볶음,깨(참깨)/볶은것
갈치살구이,갈치살
조랭이떡국,간장(재래간장)
궁중떡볶이,간장(양조간장)/국산
꽈배기도너츠,꽈배기/생지
만두피자구이,당근/국산
천도복숭아1/4,복숭아(천도)/일반
돼지고기된장불고기,간장(양조간장)/국산
방울토마토,토마토(방울토마토(체리토마토))/일반
들깨떡국,김가루
돼지갈비구이,간장(양조간장)/국산
육전,깨(참깨)/볶은것
버섯잡채,간장
오리불고기,간장(양조간장)/국산
해물굴소스볶음밥,굴소스
자장밥,감자/껍질제거(깐것)
애호박된장찌개,감자/껍질제거(깐것)
삼치우리쌀강정,간장(양조간장)/국산
크림떡볶이,"고추(풋고추(청고추,재래종))"
돈육김치찌개,간장(재래간장)
느타리시금치무침,간장(재래간장)
홍메기살강정,고추장
폭찹,당근
마늘쫑멸치볶음,간장(양조간장)/국산
김말이(2개),콩기름(대두유)
삼색나물무침,간장(재래간장)
닭고기떡강정,간장
해물칼국수,간장(재래간장)
시래기볶음,간장(재래간장)
돈육메추리알장조림,간장(양조간장)/국산
얼갈이배추무침,고추장
매콤닭봉구이,간장(양조간장)/국산
양송이스프,감자/껍질제거(깐것)
비프커틀렛/소스,달걀(난백)
토마토소스스파게티,당근
버섯전골,간장(재래간장)
두부미트볼조림,깨(참깨)/볶은것
청포묵김무침,김가루
찰수수밥,멥쌀(백미)
삼치데리야끼소스구이,간장(양조간장)/국산
가지무침,가지
모닝빵샌드위치,감자/껍질제거(깐것)
마시는요구르트,발효유(드링크요구르트)/사과맛
허브포크커틀렛/소스,달걀(난백)
오이맛살무침,깨(참깨)/볶은것
딸기롤케이크,케이크(롤케이크)
수삼닭강정/간장,간장(양조간장)/국산
삼치카레구이,레몬
들기름미역국,간장(재래간장)
가자미살튀김,가자미살/강정용
라이스탕수육,간장
소고기토란국,간장(재래간장)
삼색나물무침,간장(재래간장)
건새우얼갈이된장국,다시마/말린것(건조)
양념닭강정,간장
근대된장국,고추장
시금치두부무침,간장(재래간장)
홍메기살강정,고추장
연근샐러드,깨(검정깨(흑임자))/국산
멘츠까스/브라운소스,돈가스(햄버그돈가스)
김주먹밥,게맛살(영양강화)
새우튀김쌀우동,"가다랑어/고명용,말린것(건조)"
아귀탕수,간장
흑임자연근감자전,감자/껍질제거(깐것)
매콤수비드연어조림,양파
녹두밥,녹두
더덕오이생채,고추장
돈육쌀강정,간장
국물떡볶이,간장(양조간장)/국산
여유밥,멥쌀(백미)/일반
잔치쌀국수,간장(재래간장)
고구마줄기무침,고구마줄기/삶은것
들깨무채국,간장(재래간장)
대구강정,간장
두부부침/양념장,간장(양조간장)/국산
미트볼케첩조림,깨(참깨)/볶은것
렌틸콩밥,렌틸콩(레드렌틸콩)
피자또띠아,"돼지고기햄/친환경,슬라이스"
새우까스,새우가스
탄두리치킨,고춧가루
돈육더덕두루치기,간장
수제더덕떡갈비,간장
꼬지어묵국,"가다랑어/고명용,말린것(건조)"
절편(쑥),떡(쑥절편)
두부계란국,간장(재래간장)
통살닭튀김,닭고기(다리살)
가자미뮈니에르,"가자미/강정용,깍둑썰기,순살"
해물수제비국,간장(재래간장)
증편,증편
비빔밥/볶음고추장,간장(재래간장)
유채나물무침/간장,간장(재래간장)
카레라이스,감자/껍질제거(깐것)
감자핫도그,콩기름(대두유)
캐플쥬스,혼합음료(사과당근채소음료)
춘장찜닭,간장(양조간장)
계란채소볶음밥,감자/껍질제거(깐것)
모짜렐라치즈감자크로켓,콩기름(대두유)
바지락살미역국,간장(재래간장)
시루떡,시루떡
수제에그타르트,에그타르트/생지
매콤콩나물국,고추(붉은고추(홍고추))
우리밀찐왕만두(김치),만두(김치만두)
폭찹,당근
소갈비찜,간장(양조간장)/국산
떡만두국,간장(재래간장)
편육/쌈장,고추장
시금치고추장무침,고추장
포도(샤인),포도(청포도(시들러스))
랍스터구이,가재(바다가재)
돼지갈비엿장조림,간장(양조간장)/친환경
데미함박스테이크,당근/친환경
양상추파인참깨샐러드,깨(참깨)/볶은것
콩나물비빔밥,"깨(참깨)/볶은것,껍질제거(깐것)"
크림치즈파이,파이(크림치즈파이)/생지
참치고추장볶음,간장(양조간장)/국산
육개장,간장(재래간장)/국산
돈육달걀장조림,간장(양조간장)/국산
포도푸딩,푸딩(포도푸딩)
스크램블드에그,달걀(전란)
만두국,간장(재래간장)/국산
오징어숙회+초고추장,고추장(전통고추장)/국산
수제떡갈비구이,간장(양조간장)/국산
순두부찌개,고추씨기름
매운갈비찜,간장(양조간장)/국산
고구마순나물,고구마줄기
치즈옥수수구이,당근/세척한것
버섯초무침,고추장(전통고추장)/국산
데리야끼치킨,닭고기(넓적다리살)/껍질제거(깐것)
사과감자샐러드,감자/껍질제거(깐것)
새우죽,김가루
떡볶음(부식),간장(양조간장)/국산
오징어/고구마튀김,고구마/껍질제거(깐것)
앙팡요구르트,발효유(드링크요구르트)/사과맛
차돌박이고추장찌개,간장(재래간장)/국산
크래미초무침,과즙음료(레몬)
삼치엿장구이,간장(양조간장)/국산
돈가스+소스,돈가스
웨지감자,"감자/껍질제거(깐것),웨지모양"
양배추채무침,고추(청양고추)
감자된장찌개,감자/껍질제거(깐것)
수리취라이스케익,케이크(쑥케이크)
두부구이양념장,간장(양조간장)/국산
메추라기알버섯조림,간장(양조간장)/국산
햄김치볶음,김치(배추김치)
소시지야채구이,드레싱(머스터드드레싱)
달걀볶음밥,"깨(참깨)/볶은것,껍질제거(깐것)"
왜된장국,다시마/말린것(건조)
돼지고기자장볶음,감자/껍질제거(깐것)
초코칩트위스트,페이스트리(꽈배기페이스트리)
두부케찹조림,고추장(전통고추장)/국산
매운콩나물무침,고춧가루/국산
궁중떡볶음,간장(양조간장)/국산
크림슨포도,포도(크림슨)
주꾸미떡볶음,간장(양조간장)/국산
곤약채소초무침,고추장(전통고추장)/국산
스파게티,당근/세척한것
과일쥬스,과채주스(사과농축과즙)
치킨케이준샐러드,감귤통조림
연근강정,고추장(전통고추장)/국산
무조미김,김(구운김)/무염
곤드레밥(양념장),간장(양조간장)/국산
바지락미역국,간장(재래간장)/국산
새우가스,새우가스
햄김치찌개&생면사리,"고추(풋고추(청고추,재래종))"
달걀야채전2,달걀(전란)/껍질제거(깐것)
닭날개간장구이,간장(양조간장)/국산
난/커리소스,또띠아
돼지고기김치찜,고춧가루/국산
츄러스떡말이구이,간장(양조간장)/국산
시리얼요거트,꿀(잡화꿀)
완자전,고추(붉은고추(홍고추))
감자치즈튀김,감자/껍질제거(깐것)
산채비빔밥,간장(양조간장)/국산
양념고추장,간장(양조간장)/국산
황태감자국,간장(재래간장)/국산
잔멸치크랜베리볶음,"깨(참깨)/볶은것,껍질제거(깐것)"
블루베리요거트,꿀(잡화꿀)
한우우엉볶음밥,간장(양조간장)/국산
새우튀김,콩기름(대두유)
하우스귤,감귤(밀감)
김치감자탕,감자/껍질제거(깐것)
장어강정,간장(양조간장)/국산
허니버터연근칩,부각(연근부각)
혼합잡곡밥,멥쌀(백미)/친환경
양파맛살전,달걀(전란)
치즈돈가스+소스,돈가스(치즈돈가스)
낙지떡볶음,고추(붉은고추(홍고추))
멘보샤,샌드위치(생선샌드위치)
김치찌개,고추(풋고추(청고추))
개성식사태찜,간장(양조간장)/국산
우엉진미채볶음,간장(양조간장)/국산
새우미역국,새우(꽃새우)
깻잎생채,깻잎
오징어두루치기,느타리버섯
돈육카레전,달걀
팽이두부된장국,팽이버섯
부추겉절이,부추
세발나물,갯나물(세발나물)
계란만두,당근
새알팥죽,팥(붉은팥)
갑오징어회,무(조선무)
