SE_ID,MLSV_YMD,FOOD_NM,FDINGR_NM
1,20231031,햄김치볶음밥,햄(쵸핑햄)/친환경
2,20231031,햄김치볶음밥,소금(천일염)
3,20231031,햄김치볶음밥,굴소스
4,20231031,햄김치볶음밥,김치(맛김치)/숙성시킨것
5,20231031,햄김치볶음밥,양파/껍질제거(깐것)
6,20231031,햄김치볶음밥,멥쌀(백미)
7,20231031,햄김치볶음밥,기능성찹쌀(칼슘강화)
8,20231031,햄김치볶음밥,참기름
9,20231031,햄김치볶음밥,유채씨유(카놀라유)
10,20231031,햄김치볶음밥,김가루/조미한것
11,20231031,샤인머스캣,포도(골덴마스컷)
12,20231031,연두부달걀찜,당근/껍질제거(깐것)
13,20231031,연두부달걀찜,양파/껍질제거(깐것)
14,20231031,연두부달걀찜,소금(꽃소금)
15,20231031,연두부달걀찜,청주
16,20231031,연두부달걀찜,부추
17,20231031,연두부달걀찜,콩기름(대두유)
18,20231031,연두부달걀찜,달걀(전란)
19,20231031,연두부달걀찜,연두부(벌크)/국산
20,20231031,맑은된장국,두부/찌개용
21,20231031,맑은된장국,새우(꽃새우)/말린것(건조)
22,20231031,맑은된장국,파(실파)/껍질제거(깐것)
23,20231031,맑은된장국,다시마(뿌리다시마)/말린것(건조)
24,20231031,맑은된장국,미역/말린것(건조)
25,20231031,맑은된장국,팽이버섯
26,20231031,맑은된장국,된장(일본된장)
27,20231030,병아리콩밥,멥쌀(백미)
28,20231030,병아리콩밥,찹쌀(백미)
29,20231030,병아리콩밥,병아리콩(차나달)
30,20231030,피자맛너비아니구이돈,버터
31,20231030,피자맛너비아니구이돈,콩기름(대두유)
32,20231030,피자맛너비아니구이돈,간장
33,20231030,피자맛너비아니구이돈,두부/부침용
34,20231030,피자맛너비아니구이돈,빵가루
35,20231030,피자맛너비아니구이돈,참기름
36,20231030,피자맛너비아니구이돈,양파
37,20231030,피자맛너비아니구이돈,마늘/껍질제거(깐것)
38,20231030,피자맛너비아니구이돈,청주
39,20231030,피자맛너비아니구이돈,소금(꽃소금)
40,20231030,피자맛너비아니구이돈,굴소스
41,20231030,피자맛너비아니구이돈,옥수수통조림
42,20231030,피자맛너비아니구이돈,후추
43,20231030,피자맛너비아니구이돈,토마토페이스트/친환경
44,20231030,피자맛너비아니구이돈,피자소스
45,20231030,피자맛너비아니구이돈,핫소스
46,20231030,피자맛너비아니구이돈,배
47,20231030,피자맛너비아니구이돈,양송이버섯
48,20231030,피자맛너비아니구이돈,달걀
49,20231030,피자맛너비아니구이돈,돼지고기(안심)
50,20231030,피자맛너비아니구이돈,한우(설도)
51,20231030,고사리토장국,한우(사태)/국용
52,20231030,고사리토장국,한우(양지)
53,20231030,고사리토장국,다시마/말린것(건조)
54,20231030,고사리토장국,마늘
55,20231030,고사리토장국,양파
56,20231030,고사리토장국,된장
57,20231030,고사리토장국,파(대파)
58,20231030,고사리토장국,고사리/삶은것
59,20231030,고사리토장국,고춧가루
60,20231030,고사리토장국,소금(꽃소금)
61,20231031,타코야끼,타코야끼소스
62,20231031,타코야끼,타코
63,20231031,타코야끼,마요네즈
64,20231031,타코야끼,포(가다랑어포)/고명용
65,20231031,황태미역국,들기름
66,20231031,황태미역국,참기름
67,20231031,황태미역국,마늘
68,20231031,황태미역국,다시마/말린것(건조)
69,20231031,황태미역국,미역/말린것(건조)
70,20231031,황태미역국,명태(황태)
71,20231031,황태미역국,간장(재래간장)
72,20231031,황태미역국,콩나물
73,20231031,황태미역국,파(대파)
74,20231031,기장밥,찹쌀(백미)
75,20231031,기장밥,멥쌀(백미)
76,20231031,기장밥,기능성기장(칼슘강화)
77,20231030,매운수제비국,당근
78,20231030,매운수제비국,다시마/말린것(건조)
79,20231030,매운수제비국,수제비
80,20231030,매운수제비국,소금(꽃소금)
81,20231030,매운수제비국,고춧가루
82,20231030,매운수제비국,후추
83,20231030,매운수제비국,마늘
84,20231030,매운수제비국,파(대파)
85,20231030,매운수제비국,호박(애호박)
86,20231030,매운수제비국,고추장
87,20231030,매운수제비국,애느타리버섯/친환경
88,20231030,매운수제비국,표고버섯/친환경
89,20231030,매운수제비국,감자
90,20231030,매운수제비국,고추(청양고추)
91,20231030,귀리밥,귀리/친환경
92,20231030,귀리밥,기능성찹쌀(칼슘강화)
93,20231030,귀리밥,멥쌀(백미)/친환경
94,20231031,백김치,김치(백김치)
95,20231030,크랜베리씨앗멸치볶음,간장(양조간장)/국산
96,20231030,크랜베리씨앗멸치볶음,콩기름(대두유)
97,20231030,크랜베리씨앗멸치볶음,청주
98,20231030,크랜베리씨앗멸치볶음,물엿(황물엿)
99,20231030,크랜베리씨앗멸치볶음,참기름
100,20231030,크랜베리씨앗멸치볶음,크랜베리
101,20231030,크랜베리씨앗멸치볶음,해바라기씨/볶은것
102,20231030,크랜베리씨앗멸치볶음,호박씨/볶은것
103,20231030,크랜베리씨앗멸치볶음,마늘/껍질제거(깐것)
104,20231030,크랜베리씨앗멸치볶음,파(대파)/껍질제거(깐것)
105,20231030,크랜베리씨앗멸치볶음,깨(참깨)/볶은것
106,20231030,총각김치,김치(총각김치)
107,20231027,브로콜리꽃맛살샐러드,발효유(호상요구르트)/플레인
108,20231027,브로콜리꽃맛살샐러드,메추리알/껍질제거(깐것)
109,20231027,브로콜리꽃맛살샐러드,브로콜리/친환경
110,20231027,브로콜리꽃맛살샐러드,소금(꽃소금)
111,20231027,브로콜리꽃맛살샐러드,마요네즈
112,20231027,브로콜리꽃맛살샐러드,옥수수통조림
113,20231027,브로콜리꽃맛살샐러드,양파/껍질제거(깐것)
114,20231027,브로콜리꽃맛살샐러드,꽃맛살
115,20231027,브로콜리꽃맛살샐러드,설탕(황설탕)/친환경
116,20231027,김치콩나물국,콩나물/국산
117,20231027,김치콩나물국,김치(맛김치)/숙성시킨것
118,20231027,김치콩나물국,간장(재래간장)
119,20231027,김치콩나물국,파(대파)/껍질제거(깐것)
120,20231027,김치콩나물국,다시마(뿌리다시마)/말린것(건조)
121,20231027,김치콩나물국,양파/껍질제거(깐것)
122,20231027,김치콩나물국,청주
123,20231027,김치콩나물국,고춧가루/국산
124,20231026,삼치레몬마요네즈구이,마요네즈(전란)
125,20231026,삼치레몬마요네즈구이,맛술
126,20231026,삼치레몬마요네즈구이,소금(고운소금)
127,20231026,삼치레몬마요네즈구이,후추(검은색)
128,20231026,삼치레몬마요네즈구이,파슬리/말린것(건조)
129,20231026,삼치레몬마요네즈구이,유채씨유(카놀라유)
130,20231026,삼치레몬마요네즈구이,밀가루(중력분)/국산
131,20231026,삼치레몬마요네즈구이,전분(감자전분)
132,20231026,삼치레몬마요네즈구이,삼치
133,20231026,삼치레몬마요네즈구이,설탕(백설탕)
134,20231026,삼치레몬마요네즈구이,레몬
135,20231026,오이김치,김치(오이김치)
136,20231026,탕평채,간장
137,20231026,탕평채,콩기름(대두유)
138,20231026,탕평채,당근
139,20231026,탕평채,후추
140,20231026,탕평채,소금(꽃소금)
141,20231026,탕평채,청주
142,20231026,탕평채,파(실파)
143,20231026,탕평채,깨(검정깨(흑임자))/볶은것
144,20231026,탕평채,숙주나물
145,20231026,탕평채,미나리
146,20231026,탕평채,한우(설도)
147,20231026,탕평채,김가루
148,20231026,탕평채,마늘/껍질제거(깐것)
149,20231026,탕평채,참기름
150,20231026,탕평채,묵(녹두묵)
151,20231025,고기떡말이조림,참기름
152,20231025,고기떡말이조림,깨(참깨)/일반
153,20231025,고기떡말이조림,피망(청피망)
154,20231025,고기떡말이조림,피망(홍피망)
155,20231025,고기떡말이조림,당근/세척한것
156,20231025,고기떡말이조림,간장(양조간장)/국산
157,20231025,고기떡말이조림,고기떡말이
158,20231025,고기떡말이조림,옥수수통조림/국산
159,20231025,고기떡말이조림,식초(사과식초)
160,20231025,고기떡말이조림,양파/껍질제거(깐것)
161,20231025,고기떡말이조림,마늘/꼭지제거
162,20231025,치킨마요네즈덮밥,양파/껍질제거(깐것)
163,20231025,치킨마요네즈덮밥,파(실파)/껍질제거(깐것)
164,20231025,치킨마요네즈덮밥,유채씨유(카놀라유)
165,20231025,치킨마요네즈덮밥,멥쌀(백미)
166,20231025,치킨마요네즈덮밥,찹쌀(백미)
167,20231025,치킨마요네즈덮밥,마요네즈(전란)
168,20231025,치킨마요네즈덮밥,데리야끼소스
169,20231025,치킨마요네즈덮밥,고추(청양고추)
170,20231025,치킨마요네즈덮밥,어린잎채소(베이비잎)
171,20231025,치킨마요네즈덮밥,김가루/무염
172,20231025,치킨마요네즈덮밥,달걀(전란)/껍질제거(깐것)
173,20231025,치킨마요네즈덮밥,참다랑어(참치)
174,20231023,매운돼지갈비찜,물엿(황물엿)
175,20231023,매운돼지갈비찜,돼지고기(사태)/조림용
176,20231023,매운돼지갈비찜,돼지고기(갈비)
177,20231023,매운돼지갈비찜,참기름
178,20231023,매운돼지갈비찜,설탕(흑설탕)
179,20231023,매운돼지갈비찜,마늘/껍질제거(깐것)
180,20231023,매운돼지갈비찜,양파
181,20231023,매운돼지갈비찜,간장/장아찌용
182,20231023,매운돼지갈비찜,매실농축액
183,20231023,매운돼지갈비찜,고추장
184,20231023,매운돼지갈비찜,파(대파)
185,20231023,매운돼지갈비찜,깨(참깨)/볶은것
186,20231023,매운돼지갈비찜,건고추
187,20231023,매운돼지갈비찜,고추(청양고추)
188,20231023,매운돼지갈비찜,표고버섯
189,20231023,매운돼지갈비찜,감자
190,20231023,매운돼지갈비찜,당근
191,20231023,매운돼지갈비찜,사과
192,20231023,매운돼지갈비찜,키위/일반
193,20231023,매운돼지갈비찜,고춧가루
194,20231023,매운돼지갈비찜,청주
195,20231023,매운돼지갈비찜,후추
196,20231023,우엉잡채,청주
197,20231023,우엉잡채,소금(꽃소금)
198,20231023,우엉잡채,간장(양조간장)
199,20231023,우엉잡채,설탕(흑설탕)
200,20231023,우엉잡채,당면(자른당면)
201,20231023,우엉잡채,참기름
202,20231023,우엉잡채,양파/껍질제거(깐것)
203,20231023,우엉잡채,우엉/실채
204,20231023,우엉잡채,파프리카(노랑파프리카)
205,20231023,우엉잡채,파프리카(적색파프리카)
206,20231027,소시지떡꼬치,떡꼬치떡
207,20231027,소시지떡꼬치,떡꼬치떡(햄)
208,20231027,소시지떡꼬치,양념치킨소스
209,20231027,쥬시쿨,혼합과일음료
210,20231027,잔치국수,달걀지단
211,20231027,잔치국수,달걀지단/오므라이스용
212,20231027,잔치국수,다시마/말린것(건조)
213,20231027,잔치국수,유부
214,20231027,잔치국수,소면/말린것(건조)
215,20231027,잔치국수,양파
216,20231027,잔치국수,마늘
217,20231027,잔치국수,호박(애호박)
218,20231027,잔치국수,파(대파)
219,20231027,잔치국수,당근
220,20231027,주먹밥,당근/친환경
221,20231027,주먹밥,멥쌀(백미)
222,20231027,주먹밥,김가루
223,20231027,주먹밥,수입우(설도)/다진것
224,20231027,주먹밥,육우(설도)/조림용
225,20231027,주먹밥,간장/장아찌용
226,20231027,주먹밥,간장(양조간장)
227,20231027,주먹밥,콩기름(대두유)
228,20231027,주먹밥,소금(꽃소금)
229,20231027,주먹밥,깨(참깨)/볶은것
230,20231027,주먹밥,오이
231,20231027,주먹밥,참기름
232,20231027,주먹밥,마늘/껍질제거(깐것)
233,20231026,돈까스,양파/껍질제거(깐것)
234,20231026,돈까스,콩기름(대두유)
235,20231026,돈까스,간장(양조간장)
236,20231026,돈까스,하이스가루
237,20231026,돈까스,돈가스(수제순살돈가스)
238,20231026,돈까스,돈가스소스
239,20231026,돈까스,우스터소스
240,20231026,돈까스,토마토케첩
241,20231026,배추김치,김치(배추김치)
242,20231026,쫄면야채무침,고추장
243,20231026,쫄면야채무침,탄산음료(사이다)
244,20231026,쫄면야채무침,마늘
245,20231026,쫄면야채무침,당근
246,20231026,쫄면야채무침,양배추
247,20231026,쫄면야채무침,상추
248,20231026,쫄면야채무침,콩나물
249,20231026,쫄면야채무침,설탕(백설탕)
250,20231026,쫄면야채무침,식초(사과식초)
251,20231026,쫄면야채무침,식초(양조식초)
252,20231026,쫄면야채무침,고춧가루
253,20231026,쫄면야채무침,참기름
254,20231026,쫄면야채무침,쫄면/말린것(건조)
255,20231026,쫄면야채무침,쫄면/냉동
256,20231026,쫄면야채무침,오이
257,20231026,쫄면야채무침,파(실파)
258,20231026,쫄면야채무침,깨(참깨)/볶은것
259,20231026,마늘빵,마늘빵
260,20231026,크림스프,분말(크림수프분말)
261,20231026,크림스프,브로콜리
262,20231026,크림스프,감자
263,20231026,크림스프,양파
264,20231026,크림스프,버터
265,20231026,크림스프,우유
266,20231026,크림스프,당근
