SE_ID,SC_GRAD_VLUE,NGST_QY
1,흑미밥,187
2,어묵국,286
3,떡볶이,85
4,김말이,69
5,오징어튀김,47
6,찹쌀콩멸치볶음,127
7,배추김치,28
8,흑미밥,140
9,어묵국,57
10,떡볶이,56
11,김말이,69
12,오징어튀김,70
13,찹쌀콩멸치볶음,50
14,배추김치,28
15,흑미밥,140
16,어묵국,57
17,떡볶이,56
18,김말이,92
19,오징어튀김,47
20,찹쌀콩멸치볶음,25
21,배추김치,5
22,흑미밥,140
23,어묵국,57
24,떡볶이,56
25,김말이,69
26,오징어튀김,47
27,찹쌀콩멸치볶음,50
28,배추김치,22
29,흑미밥,187
30,어묵국,57
31,떡볶이,56
32,김말이,46
33,오징어튀김,47
34,찹쌀콩멸치볶음,25
35,배추김치,17
36,흑미밥,140
37,어묵국,57
38,떡볶이,56
39,김말이,69
40,오징어튀김,47
41,찹쌀콩멸치볶음,50
42,배추김치,22
43,흑미밥,140
44,어묵국,57
45,떡볶이,56
46,김말이,92
47,오징어튀김,94
48,찹쌀콩멸치볶음,76
49,배추김치,22
50,흑미밥,140
51,어묵국,114
52,떡볶이,56
53,김말이,69
54,오징어튀김,47
55,찹쌀콩멸치볶음,50
56,배추김치,28
57,흑미밥,140
58,어묵국,57
59,떡볶이,56
60,김말이,69
61,오징어튀김,47
62,찹쌀콩멸치볶음,50
63,배추김치,17
64,흑미밥,140
65,어묵국,57
66,떡볶이,0
67,김말이,69
68,오징어튀김,23
69,찹쌀콩멸치볶음,50
70,배추김치,11
71,흑미밥,187
72,어묵국,229
73,떡볶이,113
74,김말이,115
75,오징어튀김,117
76,찹쌀콩멸치볶음,76
77,배추김치,28
78,흑미밥,187
79,어묵국,229
80,떡볶이,141
81,김말이,115
82,오징어튀김,94
83,찹쌀콩멸치볶음,127
84,배추김치,28
85,흑미밥,187
86,어묵국,114
87,떡볶이,141
88,김말이,115
89,오징어튀김,117
90,찹쌀콩멸치볶음,50
91,배추김치,0
92,흑미밥,187
93,어묵국,57
94,떡볶이,113
95,김말이,115
96,오징어튀김,94
97,찹쌀콩멸치볶음,0
98,배추김치,0
99,흑미밥,140
100,어묵국,286
101,떡볶이,113
102,김말이,115
103,오징어튀김,23
104,찹쌀콩멸치볶음,50
105,배추김치,5
106,흑미밥,140
107,어묵국,229
108,떡볶이,141
109,김말이,115
110,오징어튀김,94
111,찹쌀콩멸치볶음,0
112,배추김치,0
113,흑미밥,140
114,어묵국,229
115,떡볶이,141
116,김말이,115
117,오징어튀김,94
118,찹쌀콩멸치볶음,101
119,배추김치,28
120,흑미밥,187
121,어묵국,172
122,떡볶이,141
123,김말이,115
124,오징어튀김,117
125,찹쌀콩멸치볶음,127
126,배추김치,28
127,흑미밥,140
128,어묵국,229
129,떡볶이,56
130,김말이,115
131,오징어튀김,117
132,찹쌀콩멸치볶음,76
133,배추김치,22
134,흑미밥,140
135,어묵국,229
136,떡볶이,141
137,김말이,115
138,오징어튀김,117
139,찹쌀콩멸치볶음,76
140,배추김치,28
141,흑미밥,140
142,어묵국,114
143,떡볶이,113
144,김말이,115
145,오징어튀김,117
146,찹쌀콩멸치볶음,0
147,배추김치,5
148,흑미밥,93
149,어묵국,0
150,떡볶이,56
151,김말이,92
152,오징어튀김,117
153,찹쌀콩멸치볶음,0
154,배추김치,5
155,흑미밥,187
156,어묵국,286
157,떡볶이,141
158,김말이,92
159,오징어튀김,117
160,찹쌀콩멸치볶음,76
161,배추김치,28
162,흑미밥,140
163,어묵국,229
164,떡볶이,113
165,김말이,115
166,오징어튀김,117
167,찹쌀콩멸치볶음,0
168,배추김치,0
169,흑미밥,187
170,어묵국,172
171,떡볶이,113
172,김말이,115
173,오징어튀김,94
174,찹쌀콩멸치볶음,76
175,배추김치,28
176,흑미밥,140
177,어묵국,286
178,떡볶이,85
179,김말이,115
180,오징어튀김,70
181,찹쌀콩멸치볶음,76
182,배추김치,22
183,흑미밥,187
184,어묵국,286
185,떡볶이,141
186,김말이,115
187,오징어튀김,94
188,찹쌀콩멸치볶음,76
189,배추김치,28
190,흑미밥,140
191,어묵국,229
192,떡볶이,141
193,김말이,115
194,오징어튀김,117
195,찹쌀콩멸치볶음,101
196,배추김치,0
197,흑미밥,93
198,어묵국,229
199,떡볶이,113
200,김말이,69
201,오징어튀김,94
202,찹쌀콩멸치볶음,0
203,배추김치,0
204,흑미밥,140
205,어묵국,229
206,떡볶이,85
207,김말이,0
208,오징어튀김,117
209,찹쌀콩멸치볶음,101
210,배추김치,0
211,흑미밥,234
212,어묵국,229
213,떡볶이,113
214,김말이,115
215,오징어튀김,94
216,찹쌀콩멸치볶음,127
217,배추김치,0
218,흑미밥,93
219,어묵국,57
220,떡볶이,56
221,김말이,115
222,오징어튀김,117
223,찹쌀콩멸치볶음,50
224,배추김치,0
225,흑미밥,187
226,어묵국,229
227,떡볶이,141
228,김말이,92
229,오징어튀김,94
230,찹쌀콩멸치볶음,101
231,배추김치,0
232,흑미밥,140
233,어묵국,229
234,떡볶이,113
235,김말이,115
236,오징어튀김,70
237,찹쌀콩멸치볶음,101
238,배추김치,0
239,흑미밥,187
240,어묵국,229
241,떡볶이,141
242,김말이,115
243,오징어튀김,117
244,찹쌀콩멸치볶음,76
245,배추김치,11
246,흑미밥,234
247,어묵국,229
248,떡볶이,85
249,김말이,115
250,오징어튀김,117
251,찹쌀콩멸치볶음,127
252,배추김치,22
253,흑미밥,93
254,어묵국,286
255,떡볶이,141
256,김말이,115
257,오징어튀김,117
258,찹쌀콩멸치볶음,0
259,배추김치,0
260,흑미밥,140
261,어묵국,229
262,떡볶이,113
263,김말이,115
264,오징어튀김,70
265,찹쌀콩멸치볶음,127
266,배추김치,28
267,흑미밥,140
268,어묵국,229
269,떡볶이,113
270,김말이,115
271,오징어튀김,117
272,찹쌀콩멸치볶음,101
273,배추김치,28
274,흑미밥,187
275,어묵국,229
276,떡볶이,141
277,김말이,69
278,오징어튀김,117
279,찹쌀콩멸치볶음,127
280,배추김치,28
281,흑미밥,140
282,어묵국,57
283,떡볶이,141
284,김말이,115
285,오징어튀김,94
286,배추김치,28
287,흑미밥,140
288,어묵국,286
289,떡볶이,141
290,김말이,115
291,오징어튀김,117
292,찹쌀콩멸치볶음,76
293,배추김치,5
294,흑미밥,187
295,어묵국,229
296,떡볶이,113
297,김말이,115
298,오징어튀김,94
299,찹쌀콩멸치볶음,25
300,배추김치,0
301,흑미밥,187
302,어묵국,286
303,떡볶이,141
304,찹쌀콩멸치볶음,76
305,배추김치,28
306,흑미밥,187
307,어묵국,172
308,떡볶이,141
309,김말이,115
310,오징어튀김,70
311,찹쌀콩멸치볶음,0
312,흑미밥,140
313,어묵국,57
314,떡볶이,113
315,김말이,115
316,오징어튀김,94
317,찹쌀콩멸치볶음,101
318,배추김치,0
319,흑미밥,93
320,어묵국,286
321,떡볶이,141
322,김말이,115
323,오징어튀김,117
324,찹쌀콩멸치볶음,0
325,배추김치,0
326,흑미밥,140
327,어묵국,286
328,떡볶이,141
329,김말이,115
330,오징어튀김,117
331,찹쌀콩멸치볶음,25
332,배추김치,11
333,흑미밥,234
334,어묵국,0
335,떡볶이,141
336,김말이,115
337,오징어튀김,23
338,찹쌀콩멸치볶음,101
339,배추김치,28
340,흑미밥,187
341,어묵국,229
342,떡볶이,113
343,김말이,115
344,오징어튀김,117
345,찹쌀콩멸치볶음,127
346,배추김치,28
347,흑미밥,140
348,어묵국,229
349,떡볶이,113
350,김말이,115
351,오징어튀김,117
352,찹쌀콩멸치볶음,101
353,배추김치,17
354,흑미밥,187
355,어묵국,114
356,떡볶이,56
357,김말이,115
358,오징어튀김,117
359,찹쌀콩멸치볶음,0
360,배추김치,22
361,흑미밥,140
362,어묵국,286
363,떡볶이,141
364,김말이,115
365,오징어튀김,94
366,찹쌀콩멸치볶음,25
367,배추김치,28
368,흑미밥,140
369,어묵국,286
370,떡볶이,141
371,김말이,115
372,오징어튀김,117
373,찹쌀콩멸치볶음,127
374,배추김치,28
375,흑미밥,140
376,어묵국,229
377,떡볶이,113
378,김말이,23
379,오징어튀김,117
380,찹쌀콩멸치볶음,76
381,배추김치,0
382,흑미밥,187
383,어묵국,229
384,떡볶이,113
385,김말이,115
386,오징어튀김,94
387,찹쌀콩멸치볶음,0
388,배추김치,0
389,흑미밥,187
390,어묵국,229
391,떡볶이,141
392,김말이,115
393,오징어튀김,117
394,찹쌀콩멸치볶음,101
395,배추김치,28
396,흑미밥,140
397,어묵국,286
398,떡볶이,141
399,김말이,115
400,오징어튀김,70
401,찹쌀콩멸치볶음,127
402,배추김치,28
403,흑미밥,187
404,어묵국,172
405,떡볶이,141
406,김말이,115
407,오징어튀김,117
408,찹쌀콩멸치볶음,0
409,배추김치,5
410,흑미밥,140
411,어묵국,229
412,떡볶이,113
413,김말이,115
414,오징어튀김,117
415,찹쌀콩멸치볶음,25
416,배추김치,28
417,흑미밥,140
418,어묵국,229
419,떡볶이,141
420,김말이,115
421,오징어튀김,94
422,배추김치,28
423,흑미밥,93
424,어묵국,114
425,떡볶이,113
426,김말이,115
427,오징어튀김,117
428,찹쌀콩멸치볶음,25
429,배추김치,5
430,흑미밥,140
431,어묵국,57
432,떡볶이,113
433,김말이,115
434,오징어튀김,117
435,찹쌀콩멸치볶음,50
436,배추김치,28
437,흑미밥,187
438,어묵국,172
439,떡볶이,113
440,김말이,115
441,오징어튀김,70
442,찹쌀콩멸치볶음,127
443,배추김치,28
444,흑미밥,140
445,어묵국,286
446,떡볶이,141
447,김말이,92
448,오징어튀김,117
449,찹쌀콩멸치볶음,127
450,배추김치,28
451,흑미밥,140
452,어묵국,229
453,떡볶이,113
454,김말이,115
455,오징어튀김,117
456,찹쌀콩멸치볶음,76
457,배추김치,11
458,흑미밥,140
459,어묵국,0
460,떡볶이,113
461,김말이,115
462,오징어튀김,70
463,배추김치,28
464,흑미밥,187
465,어묵국,229
466,떡볶이,141
467,김말이,115
468,오징어튀김,117
469,찹쌀콩멸치볶음,101
470,배추김치,28
471,흑미밥,187
472,어묵국,286
473,떡볶이,141
474,김말이,115
475,오징어튀김,117
476,찹쌀콩멸치볶음,76
477,배추김치,28
478,흑미밥,140
479,어묵국,114
480,떡볶이,56
481,김말이,0
482,오징어튀김,23
483,찹쌀콩멸치볶음,127
484,배추김치,22
485,흑미밥,93
