SE_ID,SC_GRAD_VLUE,NGST_QY
1,현미밥,110
2,청국장찌개,36
3,콩나물파채무침,9
4,목살와인구이,16
5,총각김치,35
6,거봉,15
7,현미밥,138
8,청국장찌개,36
9,콩나물파채무침,0
10,목살와인구이,32
11,총각김치,0
12,거봉,15
13,현미밥,138
14,청국장찌개,24
15,콩나물파채무침,0
16,목살와인구이,28
17,총각김치,7
18,거봉,30
19,현미밥,138
20,청국장찌개,24
21,콩나물파채무침,0
22,목살와인구이,8
23,총각김치,0
24,거봉,15
25,현미밥,138
26,청국장찌개,24
27,콩나물파채무침,24
28,목살와인구이,0
29,총각김치,35
30,거봉,0
31,현미밥,138
32,콩나물파채무침,27
33,목살와인구이,36
34,총각김치,17
35,거봉,15
36,현미밥,138
37,콩나물파채무침,27
38,목살와인구이,40
39,총각김치,17
40,거봉,27
41,현미밥,138
42,콩나물파채무침,21
43,목살와인구이,40
44,총각김치,35
45,거봉,0
46,현미밥,96
47,청국장찌개,36
48,콩나물파채무침,0
49,목살와인구이,12
50,총각김치,0
51,거봉,0
52,현미밥,138
53,청국장찌개,120
54,콩나물파채무침,30
55,목살와인구이,40
56,총각김치,35
57,거봉,30
58,현미밥,138
59,청국장찌개,84
60,콩나물파채무침,0
61,목살와인구이,40
62,총각김치,0
63,거봉,30
64,현미밥,41
65,청국장찌개,24
66,콩나물파채무침,0
67,목살와인구이,16
68,총각김치,0
69,거봉,21
70,현미밥,138
71,청국장찌개,60
72,콩나물파채무침,0
73,목살와인구이,36
74,총각김치,35
75,거봉,24
76,현미밥,138
77,청국장찌개,36
78,콩나물파채무침,0
79,목살와인구이,40
80,총각김치,35
81,거봉,27
82,현미밥,138
83,청국장찌개,48
84,콩나물파채무침,27
85,목살와인구이,16
86,총각김치,0
87,거봉,24
88,현미밥,138
89,청국장찌개,120
90,콩나물파채무침,0
91,목살와인구이,28
92,총각김치,24
93,거봉,27
94,현미밥,138
95,청국장찌개,120
96,콩나물파채무침,30
97,목살와인구이,40
98,총각김치,35
99,거봉,30
100,현미밥,138
101,청국장찌개,120
102,콩나물파채무침,30
103,목살와인구이,40
104,총각김치,35
105,거봉,30
106,현미밥,138
107,청국장찌개,120
108,콩나물파채무침,27
109,목살와인구이,40
110,총각김치,31
111,거봉,30
112,현미밥,138
113,청국장찌개,120
114,콩나물파채무침,9
115,목살와인구이,12
116,총각김치,7
117,거봉,30
118,현미밥,138
119,청국장찌개,120
120,콩나물파채무침,30
121,목살와인구이,40
122,총각김치,42
123,거봉,30
124,현미밥,138
125,청국장찌개,84
126,콩나물파채무침,21
127,목살와인구이,32
128,총각김치,7
129,거봉,21
130,현미밥,138
131,청국장찌개,72
132,콩나물파채무침,30
133,목살와인구이,40
134,총각김치,35
135,거봉,27
136,현미밥,69
137,콩나물파채무침,0
138,목살와인구이,16
139,총각김치,0
140,거봉,24
141,현미밥,41
142,콩나물파채무침,0
143,목살와인구이,12
144,총각김치,0
145,거봉,6
146,현미밥,138
147,청국장찌개,48
148,콩나물파채무침,24
149,목살와인구이,36
150,총각김치,0
151,거봉,30
152,현미밥,138
153,콩나물파채무침,30
154,목살와인구이,40
155,총각김치,35
156,현미밥,96
157,청국장찌개,120
158,콩나물파채무침,0
159,목살와인구이,28
160,총각김치,35
161,거봉,6
162,현미밥,138
163,청국장찌개,48
164,콩나물파채무침,9
165,목살와인구이,20
