SE_ID,SC_GRAD_VLUE,LOFD_QY
290,2,330
291,2,177
292,2,271
293,2,152
294,2,77
295,2,164
296,2,203
297,2,120
298,2,164
299,2,81
300,2,315
301,2,153
302,2,124
303,2,158
304,2,211
305,2,125
306,2,199
307,2,340
308,2,300
309,2,257
310,2,268
311,2,123
312,2,254
313,2,158
314,2,96
315,2,115
316,2,449
317,2,193
318,2,176
319,2,80
320,2,482
321,2,44
322,2,39
323,2,171
324,2,58
325,2,92
326,2,38
327,2,449
328,2,80
329,2,271
330,2,295
331,2,204
332,2,60
333,2,284
334,2,404
335,2,158
336,2,28
337,2,397
338,2,156
339,2,241
340,2,44
341,2,183
342,2,192
343,2,193
344,2,146
345,2,72
346,2,209
347,2,431
348,2,450
349,2,103
350,2,25
351,2,299
352,2,129
353,2,301
354,2,395
355,2,226
356,2,287
357,2,237
358,2,168
359,2,402
360,2,124
361,2,289
362,2,223
363,2,155
364,2,176
365,2,154
366,2,411
367,2,188
368,2,264
369,2,97
370,2,299
371,2,212
372,2,272
373,2,133
374,2,183
375,2,105
376,2,168
377,2,128
378,2,142
379,2,24
380,2,378
381,2,423
382,2,13
383,2,48
384,2,179
385,2,250
386,2,124
387,2,50
388,2,145
389,2,156
390,2,94
391,2,190
392,2,78
393,2,67
394,2,65
395,2,52
396,2,231
397,2,207
398,2,156
399,2,148
400,2,296
401,2,316
402,2,164
403,2,127
404,2,380
405,2,190
406,2,337
407,2,390
408,2,314
409,2,485
410,2,200
411,2,64
412,2,314
413,2,178
414,2,107
415,2,381
416,2,153
417,2,268
418,2,282
419,2,50
420,2,145
421,2,194
422,2,160
423,2,416
424,2,149
425,2,265
426,2,77
427,2,72
428,2,153
429,2,91
430,2,142
431,2,49
432,2,52
433,2,69
434,2,340
435,2,383
436,2,248
437,2,395
438,2,330
439,2,309
440,2,205
441,2,235
442,2,133
443,2,59
444,2,258
445,2,95
446,2,405
447,2,249
448,2,52
449,2,611
450,2,326
451,2,261
452,2,512
453,2,366
454,2,378
455,2,34
456,2,178
457,2,349
458,2,259
459,2,502
460,2,165
461,2,202
462,2,179
463,2,246
464,2,193
465,2,99
466,2,328
467,2,313
468,2,221
469,2,189
470,2,492
471,2,181
472,2,389
473,2,241
474,2,73
475,2,199
476,2,49
477,2,208
478,2,35
479,2,281
480,2,223
481,2,196
482,2,189
483,2,303
484,2,150
485,2,403
486,2,149
487,2,256
488,2,71
489,2,152
490,2,155
491,2,24
492,2,72
493,2,297
494,2,374
495,2,46
496,2,240
497,2,77
498,2,281
499,2,102
500,2,245
