SE_ID,SC_GRAD_VLUE,LOFD_QY
1,2,382
2,2,187
3,2,216
4,2,86
5,2,33
6,2,80
7,2,434
8,2,432
9,2,379
10,2,446
11,2,148
12,2,191
13,2,140
14,2,92
15,2,285
16,2,365
17,2,323
18,2,338
19,2,241
20,2,320
21,2,141
22,2,272
23,2,100
24,2,217
25,2,299
26,2,403
27,2,305
28,2,233
29,2,317
30,2,494
31,2,265
32,2,88
33,2,134
34,2,138
35,2,360
36,2,129
37,2,82
38,2,234
39,2,302
40,2,222
41,2,109
42,2,165
43,2,230
44,2,316
45,2,264
46,2,121
47,2,126
48,2,81
49,2,219
50,2,86
51,2,244
52,2,197
53,2,80
54,2,228
55,2,154
56,2,76
57,2,202
58,2,128
59,2,302
60,2,320
61,2,73
62,2,200
63,2,259
64,2,37
65,2,244
66,2,45
67,2,249
68,2,37
69,2,174
70,2,89
71,2,222
72,2,84
73,2,218
74,2,260
75,2,151
76,2,619
77,2,118
78,2,115
79,2,251
80,2,342
81,2,129
82,2,235
83,2,76
84,2,324
85,2,190
86,2,129
87,2,25
88,2,312
89,2,140
90,2,231
91,2,502
92,2,159
93,2,25
94,2,41
95,2,41
96,2,287
97,2,37
98,2,117
99,2,283
100,2,82
101,2,229
102,2,81
103,2,120
104,2,290
105,2,245
106,2,357
107,2,76
108,2,122
109,2,205
110,2,73
111,2,61
112,2,41
113,2,154
114,2,220
115,2,387
116,2,216
117,2,550
118,2,104
119,2,43
120,2,133
121,2,118
122,2,116
123,2,161
124,2,626
125,2,495
126,2,39
127,2,483
128,2,151
129,2,128
130,2,149
131,2,9
132,2,80
133,2,261
134,2,566
135,2,38
136,2,270
137,2,38
138,2,91
139,2,163
140,2,200
141,2,43
142,2,36
143,2,38
144,2,189
145,2,193
146,2,76
147,2,77
148,2,192
149,2,249
150,2,38
151,2,117
152,2,405
153,2,115
154,2,247
155,2,202
156,2,261
157,2,268
158,2,9
159,2,256
160,2,147
161,2,88
162,2,43
163,2,37
164,2,65
165,2,178
166,2,151
167,2,152
168,2,64
169,2,254
170,2,124
171,2,184
172,2,117
173,2,176
174,2,79
175,2,236
176,2,28
177,2,212
178,2,195
179,2,186
180,2,141
181,2,263
182,2,155
183,2,410
184,2,74
185,2,44
186,2,129
187,2,181
188,2,283
189,2,25
190,2,317
191,2,162
192,2,224
193,2,189
194,2,196
195,2,89
196,2,159
197,2,121
198,2,232
199,2,76
200,2,43
201,2,44
202,2,85
203,2,81
204,2,84
205,2,47
206,2,231
207,2,80
208,2,199
209,2,246
210,2,17
211,2,115
212,2,141
213,2,334
214,2,257
215,2,35
216,2,77
217,2,601
218,2,178
219,2,189
220,2,158
221,2,318
222,2,284
223,2,431
224,2,108
225,2,82
226,2,267
227,2,222
228,2,76
229,2,283
230,2,122
231,2,164
232,2,123
233,2,78
234,2,192
235,2,228
236,2,116
237,2,414
238,2,386
239,2,132
240,2,219
241,2,239
242,2,288
243,2,145
244,2,263
245,2,85
246,2,36
247,2,201
248,2,67
249,2,28
250,2,87
251,2,182
252,2,396
253,2,79
254,2,300
255,2,268
256,2,29
257,2,371
258,2,229
259,2,320
260,2,170
261,2,369
262,2,347
263,2,245
264,2,185
265,2,125
266,2,120
267,2,225
268,2,55
269,2,64
270,2,384
271,2,366
272,2,209
273,2,251
274,2,213
275,2,121
276,2,209
277,2,291
278,2,105
279,2,433
280,2,357
281,2,63
282,2,314
283,2,155
284,2,231
285,2,27
286,2,237
287,2,104
288,2,50
289,2,180
