SE_ID,MLSV_YMD,FOOD_NM,FDINGR_NM
1,20230620,깍두기,김치(깍두기)
2,20230620,찰기장밥,기장(찰기장)/친환경
3,20230620,찰기장밥,찹쌀(백미)/친환경
4,20230620,찰기장밥,멥쌀(백미)/친환경
5,20230620,오징어무국,미나리/국산
6,20230620,오징어무국,고춧가루/친환경
7,20230620,오징어무국,호박(애호박)/친환경
8,20230620,오징어무국,파(대파)/친환경
9,20230620,오징어무국,양파/친환경
10,20230620,오징어무국,무(조선무)/친환경
11,20230620,오징어무국,다시마/말린것(건조)
12,20230620,오징어무국,"멸치(큰멸치, 대멸)"
13,20230620,오징어무국,오징어/국산
14,20230620,오징어무국,오징어/솔방울채
15,20230620,삼색햄달걀말이,달걀(전란)
16,20230620,삼색햄달걀말이,햄(쵸핑햄)
17,20230620,삼색햄달걀말이,당근/국산
18,20230620,삼색햄달걀말이,해바라기유
19,20230620,삼색햄달걀말이,우유
20,20230620,삼색햄달걀말이,간장(양조간장)
21,20230620,삼색햄달걀말이,시금치
22,20230620,삼색햄달걀말이,표고버섯/친환경
23,20230620,삼색햄달걀말이,"마늘/껍질제거(깐것), 꼭지제거"
24,20230620,수박,수박
25,20230620,배추김치,김치(배추김치)
26,20230620,보리밥,멥쌀(현미)/친환경
27,20230620,보리밥,보리(찰보리)
28,20230620,보리밥,멥쌀(백미)/친환경
29,20230620,보리밥,찹쌀(현미)/친환경
30,20230620,보리밥,기능성기장(칼슘강화)
31,20230620,해물순두부찌개,간장(재래간장)
32,20230620,해물순두부찌개,소금(꽃소금)
33,20230620,해물순두부찌개,고춧가루
34,20230620,해물순두부찌개,다시마(뿌리다시마)/말린것(건조)
35,20230620,해물순두부찌개,달걀
36,20230620,해물순두부찌개,"멸치(큰멸치, 대멸)"
37,20230620,해물순두부찌개,"오징어/껍질있는것(안깐것), 채썬것(세절)"
38,20230620,해물순두부찌개,바지락살
39,20230620,해물순두부찌개,"마늘/껍질제거(깐것), 꼭지제거"
40,20230620,해물순두부찌개,양파/껍질제거(깐것)
41,20230620,해물순두부찌개,팽이버섯
42,20230620,해물순두부찌개,고추(붉은고추(홍고추))
43,20230620,해물순두부찌개,두부(순두부)
44,20230620,해물순두부찌개,고추씨기름
45,20230620,해물순두부찌개,유채씨유(카놀라유)
46,20230620,해물순두부찌개,파(대파)/껍질제거(깐것)
47,20230620,해물순두부찌개,새우살(백새우)
48,20230620,해물순두부찌개,호박(애호박)
49,20230620,코다리떡강정,"깨(참깨)/볶은것, 껍질제거(깐것)"
50,20230620,코다리떡강정,"코다리살/강정용, 깍둑썰기"
51,20230620,코다리떡강정,설탕(백설탕)
52,20230620,코다리떡강정,간장(양조간장)
53,20230620,코다리떡강정,생수
54,20230620,코다리떡강정,배
55,20230620,코다리떡강정,실고추
56,20230620,코다리떡강정,유채씨유(카놀라유)
57,20230620,코다리떡강정,튀김가루
58,20230620,코다리떡강정,전분(감자전분)
59,20230620,코다리떡강정,떡볶이떡(비엔나떡볶이떡)
60,20230620,코다리떡강정,양파/껍질제거(깐것)
61,20230620,베이컨감자채볶음,"깨(참깨)/볶은것, 껍질제거(깐것)"
62,20230620,베이컨감자채볶음,유채씨유(카놀라유)
63,20230620,베이컨감자채볶음,참기름/국산
64,20230620,베이컨감자채볶음,소금(꽃소금)
65,20230620,베이컨감자채볶음,베이컨
66,20230620,베이컨감자채볶음,후추
67,20230620,베이컨감자채볶음,감자/껍질제거(깐것)
68,20230620,그린샐러드,멥쌀(백미)
69,20230620,총각김치,무(왜무)
70,20230620,꽃게오징어무국,기능성찹쌀(칼슘강화)
71,20230620,닭다리오븐구이,"마늘/껍질제거(깐것), 꼭지제거"
72,20230620,차조밥,기능성기장(칼슘강화)
73,20230620,새송이버섯볶음,차조
74,20230619,수박,수박
75,20230619,배추김치,김치(배추김치)
76,20230619,깻잎절임,간장(양조간장)/국산
77,20230619,깻잎절임,깻잎/친환경
78,20230619,깻잎절임,"마늘/껍질제거(깐것), 꼭지제거"
79,20230619,깻잎절임,고춧가루
80,20230619,깻잎절임,깨(참깨)/볶은것
81,20230619,깻잎절임,파(쪽파)/친환경
82,20230619,깻잎절임,참기름
83,20230619,깻잎절임,설탕(황설탕)
84,20230619,치킨커틀렛,하이스가루
85,20230619,치킨커틀렛,밀가루/국산
86,20230619,치킨커틀렛,빵가루
87,20230619,치킨커틀렛,월계수잎/말린것(건조)
